provnum	network	facname	phyaddr1	phyaddr2	phycity	phystate	phyzip	phonenum	shift	chainyn	chainnam	owntype	certdate	totstas	HD	PD	homehd	PURR_F	urrg65_f	URRG65_C	urrg65_u	urrg65_s	hgbrd_f	Hgbl10_f	Hgbl10_c	Hgbg12_f	Hgbg12_c	hgbl10_u	hgbl10_s	hgbg12_u	hgbg12_s	dateurhg	PTSURV_F	PTSURV_C	ptsurvu1	ptsurvu2	ptsurvu3	ptsurvs1	ptsurvs2	ptsurvs3	DATESMR	CNTYNAME
012515	08	FMC OPELIKA	2609 VILLAGE PROFESSIONAL DR	STE 2	OPELIKA	AL	36801	3347495085	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07SEP1982	25	Y	Y	N		97	001	97	96		1	001	16	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	LEE
012516	08	DSI NORWOOD	1424 NORTH CARRAWAY BLVD		BIRMINGHAM	AL	35234	2055025300	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	02DEC1982	20	Y	Y	Y		100	001	97	96		4	001	19	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012517	08	ATHENS DIALYSIS	15953 ATHENS LIMESTONE DRIVE		ATHENS	AL	35613	2562334730	N	Y	GAMBRO HEALTHCARE	1	21JAN1983	12	Y	N	Y		96	001	97	96		3	001	16	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	LIMESTONE
012519	08	FMC SCOTTSBORO	20998 JOHN T. REID HWY		SCOTTSBORO	AL	35768	2562594777	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05NOV1984	16	Y	N	N		100	001	97	96		5	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JACKSON
012520	08	FMC TROY	606 BOTTS AVE		TROY	AL	36081	3345667266	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	19NOV1984	15	Y	N	N		98	001	97	96		4	001	2	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	PIKE
012521	08	DCI DOTHAN	1630 COLUMBIA HWY		DOTHAN	AL	36303	3347933519	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	11MAR1985	33	Y	Y	N		87	001	97	96		2	001	9	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	HOUSTON
012522	08	FMC HUNTSVILLE	2325 PANSY STREET	SUITE C	HUNTSVILLE	AL	35801	2565361881	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	20AUG1985	32	Y	N	N		98	001	97	96		13	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MADISON
012523	08	PHENIX CITY DIALYSIS	1900 OPELIKA ROAD		PHENIX CITY	AL	36867	3342981941	N	Y	DAVITA	1	23SEP1985	20	Y	Y	N		96	001	97	96		3	001	0	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	RUSSELL
012524	08	FMC EAST MOBILE	1217 GOVERNMENT ST		MOBILE	AL	36604	2514386917	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01DEC1985	29	Y	Y	Y		99	001	97	96		4	001	4	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MOBILE
012525	08	FMC WEST MOBILE	6601 WALL STREET	SUITE A	MOBILE	AL	36695	2516332681	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	02DEC1985	20	Y	N	N		100	001	97	96		1	001	4	001	3	4	11	8	2010	1	001	437	4174	552	2	92	21	2007-2010	MOBILE
012526	08	RCG PRINCETON	708 COTTON AVE SW		BIRMINGHAM	AL	35211	2057853500	N	Y	RENAL CARE GROUP INC.	1	18SEP1985	34	Y	Y	Y		99	001	97	96		8	001	12	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012527	08	DCI ENTERPRISE	3861 SALEM ROAD		ENTERPRISE	AL	36330	3343478233	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	04JUL1986	26	Y	Y	Y		99	001	97	96		1	001	6	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	COFFEE
012528	08	FMC CAHABA VALLEY	120 CAHABA VALLEY PARKWAY	SUITE 150	PELHAM	AL	35124	2059880469	N	Y	RENAL CARE GROUP INC.	1	17SEP1986	24	Y	N	N		100	001	97	96		2	001	15	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	SHELBY
012529	08	FLORENCE DIALYSIS	422 EAST DR. HICKS BLVD		FLORENCE	AL	35630	2567645050	N	Y	GAMBRO HEALTHCARE	1	16SEP1986	18	Y	Y	N		94	001	97	96		2	001	18	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	LAUDERDALE
012530	08	RAI EAST 11TH ST ANNISTON	522 EAST 11TH STREET	1ST FLOOR	ANNISTON	AL	36207	2562377566	N	N	INDEPENDENT	1	07JAN1987	21	Y	N	N		100	001	97	96		0	001	33	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CALHOUN
012531	08	FMC JACKSON (TOMBIGBEE)	215 WALKER SPRINGS RD		JACKSON	AL	36545	2512466667	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	29JAN1987	24	Y	Y	Y		100	001	97	96		10	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CLARKE
012532	08	DCI EUFAULA	123 A EAST BARBOUR STREET		EUFAULA	AL	36027	3346877071	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	25NOV1987	19	Y	N	N		95	001	97	96		5	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	BARBOUR
012533	08	DSI-WALKER COUNTY DIALYSIS	589 HIGHWAY 78 WEST		JASPER	AL	35501	2052211064	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	29DEC1987	12	Y	Y	N		100	001	97	96		3	001	13	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	WALKER
012534	08	BESSEMER KIDNEY CENTER	975 9TH AVE SW	SUITE 500	BESSEMER	AL	35022	2054243757	N	Y	RENAL CARE GROUP INC.	1	22MAR1988	36	Y	N	N		98	001	97	96		7	001	2	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012535	08	PCD PRATTVILLE	1815 GLYNWOOD DRIVE		PRATTVILLE	AL	36066	3343610010	N	Y	DAVITA	1	26JAN1990	16	Y	N	N		100	001	97	96		2	001	2	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	AUTAUGA
012536	08	FMC MONTCLAIR	3918 MONTCLAIR RD	SUITE 110	BIRMINGHAM	AL	35213	2058710999	N	Y	RENAL CARE GROUP INC.	1	12SEP1990	24	Y	N	N		100	001	97	96		6	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012537	08	FMC PRICHARD	4016 HWY 45		WHISTLER	AL	36613	2513301623	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	23APR1990	25	Y	N	N		98	001	97	96		8	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MOBILE
012538	08	RCG ANDALUSIA	403 WEST BYPASS		ANDALUSIA	AL	36420	3342220416	N	Y	RENAL CARE GROUP INC.	1	26JUN1991	10	Y	N	N		94	001	97	96		3	001	3	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	COVINGTON
012540	08	FMC MONROEVILLE (WHETSTONE)	676 S ALABAMA AVE		MONROEVILLE	AL	36460	2515753452	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	18SEP1991	20	Y	Y	N		100	001	97	96		3	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MONROE
012541	08	FMC DADEVILLE	52 WATERWORKS RD		DADEVILLE	AL	36853	2568252740	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	11MAR1992	15	Y	N	N		100	001	97	96		3	001	10	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	TALLAPOOSA
012542	08	RAINBOW CITY DIALYSIS	2800 RAINBOW DRIVE		RAINBOW CITY	AL	35906	2564133245	N	Y	GAMBRO HEALTHCARE	1	05MAY1992	16	Y	Y	Y		94	001	97	96		3	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	ETOWAH
012543	08	DEMOPOLIS DIALYSIS	511 S CEDAR STREET		DEMOPOLIS	AL	36732	3342899700	N	Y	GAMBRO HEALTHCARE	1	20MAY1992	15	Y	Y	N		89	001	97	96		5	001	7	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	MARENGO
012544	08	OZARK DIALYSIS	214 HOSPITAL AVENUE		OZARK	AL	36360	3347742630	N	Y	GAMBRO HEALTHCARE	1	04AUG1992	13	Y	N	N		97	001	97	96		0	001	3	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	DALE
012545	08	TUSCALOOSA DIALYSIS	805 OLD MILL STREET		TUSCALOOSA	AL	35401	2057526363	N	Y	GAMBRO HEALTHCARE	1	11AUG1992	19	Y	N	Y		97	001	97	96		2	001	1	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	TUSCALOOSA
012546	08	FMC TUSKEGEE	802 E. MARTIN LUTHER KING HWY		TUSKEGEE	AL	36083	3347279447	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	18MAY1993	20	Y	N	N		100	001	97	96		4	001	22	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MACON
012547	08	FMC EASTERN SHORE	124 PROFESSIONAL PARK DR		FAIRHOPE	AL	36532	2519287835	Y	Y	FRESENIUS MEDICAL CARE (FMC)	1	01AUG1993	24	Y	Y	Y		98	001	97	96		2	001	4	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	BALDWIN
012548	08	FAYETTE DIALYSIS	2450 TEMPLE AVE N		FAYETTE	AL	35555	2059328500	N	Y	GAMBRO HEALTHCARE	1	12NOV1993	10	Y	N	N		93	001	97	96		7	001	20	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	FAYETTE
012549	08	DIALYSIS AFFILIATES OF SOUTH ALABAMA	1205 BELLEVILLE AVE.		BREWTON	AL	36426	2518673650	N	N	INDEPENDENT	1	17MAR1994	14	Y	N	N		81	001	97	96		25	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	ESCAMBIA
012550	08	GREENE COUNTY DIALYSIS	544 HIGHWAY 43		EUTAW	AL	35462	2053724000	N	Y	GAMBRO HEALTHCARE	1	30JUN1994	10	Y	N	N		91	001	97	96		3	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	GREENE
012551	08	SHEFFIELD DIALYSIS	1120 S JACKSON HWY STE 107		SHEFFIELD	AL	35660	2563818004	N	Y	GAMBRO HEALTHCARE	1	01JAN1995	12	Y	N	N		89	001	97	96		0	001	11	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	COLBERT
012553	08	PCD ELMORE COUNTY	125 HOSPITAL DRIVE		WETUMPKA	AL	36092	3345142037	N	Y	DAVITA	1	30JAN1995	10	Y	N	N		95	001	97	96		5	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	ELMORE
012556	08	RCG PELL CITY	2804 DR. JOHN HAYNES DRIVE		PELL CITY	AL	35125	2058847414	N	Y	RENAL CARE GROUP INC.	1	01JUN1995	10	Y	N	N		100	001	97	96		8	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	SAINT CLAIR
012557	08	PCD EAST MONTGOMERY	6890 WINTON BLOUNT BLVD		MONTGOMERY	AL	36117	3342600671	N	Y	DAVITA	1	01JUN1995	13	Y	N	N		97	001	97	96		0	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MONTGOMERY
012558	08	DCI DECATUR	1601 6TH AVENUE SOUTH EAST		DECATUR	AL	35601	2563508882	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	24MAY1995	24	Y	N	N		69	001	97	96		0	001	20	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	MORGAN
012559	08	FMC UNIVERSITY SOUTH ALABAMA	700 CLINIC DRIVE		MOBILE	AL	36688	2514606797	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	14JAN1995	22	Y	Y	Y		100	001	97	96		8	001	11	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MOBILE
012560	08	FMC HAMILTON	1256 MILITARY STREET SOUTH		HAMILTON	AL	35570	2059216231	N	Y	RENAL CARE GROUP INC.	1	11DEC1995	7	Y	N	N		100	001	97	96		0	001	17	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MARION
012561	08	FMC LAKEVIEW	45 MEDICAL PARK DR., STE A		GUNTERSVILLE	AL	35976	2567530112	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07DEC1995	17	Y	N	N		96	001	97	96		5	001	9	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MARSHALL
012562	08	DCI PELL CITY	62 COGSWELL AVE		PELL CITY	AL	35125	2058844240	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	13DEC1995	10	Y	N	N		93	001	97	96		0	001	20	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	SAINT CLAIR
012563	08	DCI CULLMAN	1734 EVA ROAD NE		CULLMAN	AL	35055	2567343055	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	04JAN1996	16	Y	N	N		84	001	97	96		2	001	13	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CULLMAN
012565	08	SOUTH BALDWIN DIALYSIS CENTER	150 W PEACHTREE AVE		FOLEY	AL	36535	2519434155	N	Y	DAVITA	1	02APR1996	13	Y	N	Y		100	001	97	96		4	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	BALDWIN
012566	08	FMC SYLACAUGA	314 WEST SPRING STREET		SYLACAUGA	AL	35150	2562499660	N	Y	RENAL CARE GROUP INC.	1	16JUL1996	12	Y	N	N		100	001	97	96		0	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	TALLADEGA
012568	08	FMC PARKWAY	1311 N MEMORIAL PKWY STE 100		HUNTSVILLE	AL	35801	2565365563	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	03SEP1996	15	Y	N	N		97	001	97	96		8	001	16	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MADISON
012570	08	NORTHPORT DIALYSIS	2401 HOSPITAL DRIVE		NORTHPORT	AL	35476	2053398882	Y	Y	GAMBRO HEALTHCARE	1	03DEC1996	14	Y	N	N		93	001	97	96		0	001	0	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	TUSCALOOSA
012571	08	DCI GEORGIANA	P O BOX 618		GEORGIANA	AL	36033	3343760277	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	31DEC1996	10	Y	N	N		95	001	97	96		0	001	17	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	BUTLER
012572	08	FMC CAMELLIA	108 L. V. STABLER DRIVE		GREENVILLE	AL	36037	3343825052	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	12FEB1997	8	Y	N	N		100	001	97	96		0	001	7	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	BUTLER
012573	08	DCI BIRMINGHAM	8713 PARKWAY EAST		BIRMINGHAM	AL	35206	2058385400	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	18DEC1997	16	Y	Y	N		97	001	97	96		0	001	22	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012574	08	FMC CHAMBERS	802 HOSPITAL STREET		LAFAYETTE	AL	36862	3348649914	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	10JUN1997	10	Y	N	N		100	001	97	96		0	001	8	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CHAMBERS
012575	08	RCG WALKER	3510 3RD STREET NE		JASPER	AL	35504	2052218775	N	Y	RENAL CARE GROUP INC.	1	08JAN1998	22	Y	N	N		97	001	97	96		3	001	3	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	WALKER
012576	08	DCI MONTGOMERY	544 SOUTH MCDONOUGH STREET		MONTGOMERY	AL	36104	3342659190	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	05JUN1998	24	Y	Y	N		94	001	97	96		2	001	20	001	3	4	11	8	2010	1	001	437	4174	552	2	92	21	2007-2010	MONTGOMERY
012578	08	FMC SOUTHSIDE	2131 MAGNOLIA AVE SOUTH #100		BIRMINGHAM	AL	35205	2053224382	N	Y	RENAL CARE GROUP INC.	1	18JUN1998	12	Y	N	N		100	001	97	96		3	001	7	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012579	08	FMC DAUPHIN ISLAND PKWY	2381 DAUPHIN ISLAND PARKWAY		MOBILE	AL	36605	2514712505	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	08JUL1998	20	Y	N	N		98	001	97	96		7	001	2	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MOBILE
012580	08	FMC THOMASVILLE	30230 HWY 43		THOMASVILLE	AL	36784	3346361411	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	15SEP1998	20	Y	Y	Y		98	001	97	96		0	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CLARKE
012582	08	FMC WILCOX	229 CAMDEN BYPASS		CAMDEN	AL	36726	3346825030	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04NOV1998	10	Y	N	N		100	001	97	96		0	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	WILCOX
012583	08	BESSEMER DIALYSIS	901 WESTLAKE MALL	STE 101	BESSEMER	AL	35020	2054241848	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	16	Y	N	N		98	001	97	96		4	001	4	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012585	08	ENSLEY DIALYSIS	2630 AVENUE E		BIRMINGHAM	AL	35218	2057861371	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	24	Y	N	N		98	001	97	96		7	001	1	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012588	08	SYLACAUGA DIALYSIS	331 JAMES PAYTON BLVD		SYLACAUGA	AL	35150	2562494994	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	14	Y	Y	Y		85	001	97	96		10	001	2	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	TALLADEGA
012589	08	BIRMINGHAM NORTH DIALYSIS	1917 32ND AVENUE NORTH		BIRMINGHAM	AL	35207	2052979052	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	24	Y	N	N		99	001	97	96		10	001	1	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012590	08	DCI MOULTON	1962 MAIN STREET		MOULTON	AL	35650	2569741400	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	16MAR1999	10	Y	N	N		88	001	97	96		0	001	44	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	LAWRENCE
012591	08	FMC SHELBY	1022 FIRST STREET NORTH	SUITE 101	ALABASTER	AL	35007	2056206867	N	Y	RENAL CARE GROUP INC.	1	08APR1999	12	Y	N	N		100	001	97	96		3	001	13	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	SHELBY
012592	08	BIRMINGHAM CENTRAL DIALYSIS	728 RICHARD ARRINGTON BLVD S		BIRMINGHAM	AL	35233	2052506760	Y	Y	GAMBRO HEALTHCARE	1	01AUG1998	32	Y	N	N		96	001	97	96		8	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012593	08	FMC ODYSSEY DIALYSIS	40 HUGHES ROAD		MADISON	AL	35758	2567724435	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05MAY1999	15	Y	N	N		100	001	97	96		4	001	13	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MADISON
012594	08	BOAZ DIALYSIS	16 CENTRAL HENDERSON ROAD		BOAZ	AL	35957	2568405931	N	Y	GAMBRO HEALTHCARE	1	30JUN1999	10	Y	N	N		90	001	97	96		0	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MARSHALL
012595	08	RGC FORT PAYNE	2202 JORDAN ROAD SW	SUITE 100	FORT PAYNE	AL	35968	2568459979	N	Y	RENAL CARE GROUP INC.	1	01MAY1999	12	Y	Y	N		100	001	97	96		3	001	13	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	DE KALB
012596	08	FMC MONTGOMERY BAPTIST	1400 NARROW LANE PKWY		MONTGOMERY	AL	36111	3342864011	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	11AUG1999	25	Y	N	N		93	001	97	96		2	001	8	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MONTGOMERY
012597	08	FMC BAY MINETTE	2505 HAND AVENUE		BAY MINETTE	AL	36507	2515804448	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	27OCT1999	10	Y	N	N		100	001	97	96		3	001	0	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	BALDWIN
012598	08	DCI PHENIX CITY	1611 21ST COURT		PHENIX CITY	AL	36867	3344484840	N	Y	DIALYSIS CLINIC, INC. (DCI)	1	09FEB2000	12	Y	N	N		98	001	97	96		0	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	RUSSELL
012599	08	FMC PORT CITY	201 ST. JOSEPH STREET, SUITE B		MOBILE	AL	36602	2516521025	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07FEB2001	20	Y	N	N		98	001	97	96		5	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	MOBILE
012600	08	ATMORE DIALYSIS CENTER	807 EAST CRAIG STREET		ATMORE	AL	36502	2513685593	N	Y	DAVITA	1	14MAR2001	10	Y	N	N		94	001	97	96		0	001	16	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	ESCAMBIA
012601	08	FMC WEST	633 LOMB AVENUE		BIRMINGHAM	AL	35211	2057812366	N	Y	RENAL CARE GROUP INC.	1	27MAR2001	24	Y	N	N		100	001	97	96		0	001	12	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012602	08	RUSSELLVILLE DIALYSIS	14897 HWY 43		RUSSELLVILLE	AL	35653	2563327044	N	Y	GAMBRO HEALTHCARE	1	20JUN2001	10	Y	N	N		81	001	97	96		5	001	5	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	FRANKLIN
012603	08	FMC FAIRFIELD (STEEL CITY)	6508 E. J. OLIVER BLVD		FAIRFIELD	AL	35064	2057805122	N	Y	RENAL CARE GROUP INC.	1	16OCT2001	12	Y	N	N		100	001	97	96		0	001	6	001	3	4	11	8	2010	3	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
012604	08	RCG CLANTON	275 HEALTH CENTER DRIVE		CLANTON	AL	35045	2052804331	N	Y	RENAL CARE GROUP INC.	1	27MAR2002	12	Y	N	N		100	001	97	96		5	001	9	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	CHILTON
012605	08	BIRMINGHAM HOME TRAINING DIALYSIS	2101 7TH AVENUE SOUTH		BIRMINGHAM	AL	35233	2052415105	N	Y	GAMBRO HEALTHCARE	1	25JUL2002	7	N	Y	Y			201	97	96		8	001	13	001	3	4	11	8	2010	2	001	437	4174	552	2	92	21	2007-2010	JEFFERSON
