"STATE","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the State with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the State with patient transfusions categorized as ""As expected""","Lists the number of facilities in the State with patient transfusions categorized as ""Worse than expected""","Percentage of Adult HD patients with Kt/V >=1.2","Percentage of Adult PD PTS with Kt/V >=1.7","Percentage of Pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of Adult patients with Hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"MD","16","0","0","116","2","93","83","67","59","12","2","11","30","33","16","9","0","120","6","10","89","22"
"ME","10","0","1","14","0","91","84","0","70","12","3","9","26","29","23","12","0","16","0","6","10","0"
"MI","14","0","0","160","8","91","78","90","61","10","3","10","29","33","18","9","0","161","19","11","157","11"
"MN","17","0","0","83","4","93","87","58","66","12","2","10","30","33","18","9","0","91","5","6","90","2"
"MO","15","0","0","112","6","91","81","48","62","10","2","10","27","31","20","12","0","132","8","7","113","13"
"MP","11","0","0","2","0","87","62","","60","9","8","10","21","26","27","16","0","2","0","0","2","0"
"MS","22","0","0","66","8","90","74","84","64","8","5","12","28","28","21","11","6","69","1","5","58","11"
"MT","8","1","0","10","0","91","65","","70","17","3","8","24","26","25","17","0","11","0","3","8","0"
"NC","12","0","1","169","7","91","85","80","63","9","3","10","27","32","20","11","1","177","5","6","167","12"
"ND","16","1","0","10","2","90","55","","71","12","3","10","29","28","22","12","0","15","0","0","15","0"
"NE","9","0","0","28","1","92","64","69","63","15","2","9","30","33","19","9","0","34","1","3","31","0"
"NH","14","0","0","13","1","89","89","","72","12","4","8","25","28","24","14","0","14","0","0","14","0"
"NJ","12","0","1","121","4","91","80","86","65","12","3","12","29","30","19","9","0","129","1","11","111","9"
"NM","9","1","3","32","0","89","84","100","74","8","2","10","25","28","23","13","2","34","0","8","22","6"
"NV","13","0","0","39","3","86","88","0","66","9","2","11","30","35","15","9","0","43","1","1","37","3"
"NY","15","1","4","199","12","92","75","85","66","13","2","11","27","29","22","10","1","215","18","42","165","28"
"OH","14","0","0","203","24","92","83","97","60","12","3","10","28","31","21","11","1","221","32","19","217","19"
"OK","11","0","0","62","1","93","83","88","72","11","1","9","26","31","20","13","0","69","0","4","58","4"
"OR","8","0","0","42","1","89","86","0","72","9","3","9","28","32","20","11","0","49","3","4","45","1"
"PA","12","0","0","196","33","93","81","90","63","11","2","11","30","31","18","9","0","220","33","12","213","26"
"PR","7","0","0","31","5","87","73","0","55","18","6","11","29","28","23","9","0","33","5","0","11","28"
"RI","16","0","0","14","0","94","80","","70","12","3","8","23","29","26","14","0","14","0","1","13","0"
"SC","14","0","2","113","3","89","80","94","55","8","3","10","26","29","22","12","1","119","1","4","97","19"
"SD","20","1","0","16","0","90","81","100","71","8","1","9","30","31","21","10","1","18","0","6","14","0"
"TN","12","0","0","142","15","92","85","87","63","12","2","9","26","32","21","13","0","153","7","5","143","11"
"TX","11","0","2","457","24","93","85","87","63","9","2","10","27","32","19","12","5","498","5","30","414","54"
"UT","23","0","0","31","0","94","81","85","73","10","3","9","26","29","23","13","1","35","0","2","33","1"
"VA","15","0","0","130","6","91","81","76","62","12","2","10","28","32","19","11","1","138","2","3","118","16"
"VI","23","1","0","3","0","74","","100","62","5","3","17","31","25","21","7","1","2","0","0","3","0"
"VT","22","0","0","7","0","94","46","","67","16","1","5","26","29","24","15","0","8","0","1","6","1"
"WA","12","0","0","68","0","92","88","88","72","9","3","9","26","30","22","13","1","74","1","8","63","4"
"WI","16","0","0","93","8","91","80","88","68","13","1","11","30","33","17","9","1","105","2","14","87","7"
"WV","13","0","0","23","9","85","63","0","62","13","2","11","27","28","22","12","1","26","5","2","27","4"
"WY","13","0","0","6","0","87","72","","69","9","4","11","25","29","24","11","0","9","0","1","8","0"
