Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
032587 DEER VALLEY DIALYSIS (FMC),032587,-,21241 N 23RD AVE STE 11,PHOENIX,AZ,85027,15,ICH CAHPS,44.55%,0,4,4,63.00%,5,4,4,80.16%,5,5,5,39.34%,0,3,4,52.52%,2,5,4,59.30%,2,4,4,2,-,4,5
032593 GRANITE VALLEY DIALYSIS (FMC),032593,-,14510 W SHUMWAY DR STE 100,SUN CITY WEST,AZ,85375,15,ICH CAHPS,82.39%,10,4,4,71.12%,9,4,4,88.38%,10,5,5,76.69%,10,3,4,81.72%,10,5,4,93.64%,10,4,4,10,-,4,5
032594 SALT RIVER DIALYSIS CENTER (FMC),032594,-,10301 E OSBORN RD BLDG 14,SCOTTSDALE,AZ,85256,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032596 NORTHEAST PHOENIX DIALYSIS (DSI),032596,-,3305 E GREENWAY RD STE 1,PHOENIX,AZ,85032,15,ICH CAHPS,65.09%,4,4,4,63.88%,5,4,4,83.41%,7,5,5,56.75%,3,3,4,61.94%,5,5,4,67.94%,5,4,4,5,-,4,5
032597 SAN CARLOS DIALYSIS (FMC),032597,-,US 70 & AZ ROUTE 170,PERIDOT,AZ,85542,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032598 MAMMOTH DIALYSIS (FMC),032598,-,14786 S HIGHWAY 77 - POB 729,MAMMOTH,AZ,85618,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032599 AHWATUKEE DIALYSIS (FMC),032599,-,15930 48TH STREET,PHOENIX,AZ,85048,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032607 AVONDALE DIALYSIS (FMC),032607,-,10750 W MCDOWELL RD STE E500,AVONDALE,AZ,85323,15,ICH CAHPS,72.66%,7,4,4,65.35%,6,4,4,80.52%,5,5,5,74.24%,9,3,4,77.63%,10,5,4,81.48%,9,4,4,8,-,4,5
032608 AVONDALE DIALYSIS (DSI),032608,-,13055 W MCDOWELL RD STE F101,AVONDALE,AZ,85392,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032610 SOUTHEAST VALLEY DIALYSIS (FMC),032610,-,22715 S ELLSWORTH RD STE D,QUEEN CREEK,AZ,85142,15,ICH CAHPS,59.27%,1,4,4,66.29%,7,4,4,78.84%,4,5,5,49.65%,1,3,4,68.33%,7,5,4,80.44%,9,4,4,5,-,4,5
032613 NORTHWEST TUCSON DIALYSIS (FMC),032613,-,6261 N LA CHOLLA BLVD STE 181,TUCSON,AZ,85741,15,ICH CAHPS,63.74%,3,4,4,62.29%,5,4,4,83.74%,7,5,5,52.52%,2,3,4,59.62%,4,5,4,71.13%,6,4,4,5,-,4,5
032614 DOUGLAS DIALYSIS CENTER (DCI),032614,-,99 E 16TH ST,DOUGLAS,AZ,85607,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032616 DESERT DIALYSIS SAHUARITA (DCI),032616,-,1700 W COMMERCE POINTE PL,SAHUARITA,AZ,85629,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032617 TUCSON WEST DIALYSIS CENTER (FMC),032617,-,100 W GRANT RD,TUCSON,AZ,85705,15,ICH CAHPS,64.24%,5,4,4,59.38%,3,4,4,79.49%,5,5,5,67.96%,7,3,4,63.87%,6,5,4,71.51%,6,4,4,5,-,4,5
032622 GOODYEAR DIALYSIS (FMC),032622,-,500 N BULLARD AVE STE C34,GOODYEAR,AZ,85338,15,ICH CAHPS,59.67%,1,4,4,53.70%,1,4,4,75.43%,2,5,5,57.40%,3,3,4,62.29%,5,5,4,61.30%,3,4,4,3,-,4,5
032626 MIDVALE PARK DIALYSIS (FMC),032626,-,1430 W VALENCIA RD STE 1,TUCSON,AZ,85746,15,ICH CAHPS,67.34%,5,4,4,56.17%,2,4,4,70.91%,0,5,5,59.61%,4,3,4,55.80%,3,5,4,64.48%,4,4,4,3,-,4,5
032628 KINGMAN DIALYSIS CLINIC (FMC),032628,-,1721 AIRWAY AVE,KINGMAN,AZ,86409,15,ICH CAHPS,69.97%,6,4,4,50.98%,0,4,4,81.72%,6,5,5,64.95%,6,3,4,47.85%,0,5,4,55.16%,1,4,4,3,-,4,5
032629 SOUTH TUCSON DIALYSIS (FMC),032629,-,2802 SOUTH 6TH AVE,TUCSON,AZ,85713,15,ICH CAHPS,67.49%,5,4,4,63.16%,5,4,4,77.35%,3,5,5,58.40%,3,3,4,67.67%,6,5,4,82.56%,10,4,4,5,-,4,5
032633 SANTAN DIALYSIS (FMC),032633,-,300 W HIGHWAY 287,FLORENCE,AZ,85132,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032635 GILBERT DIALYSIS (FMC),032635,-,3511 MERCY RD STE 101,GILBERT,AZ,85297,15,ICH CAHPS,72.20%,7,4,4,72.03%,10,4,4,80.82%,5,5,5,58.80%,4,3,4,69.03%,7,5,4,74.34%,7,4,4,7,-,4,5
032636 US Renal Care Flagstaff Dialysis,032636,-,2268 N WALGREENS ST,FLAGSTAFF,AZ,86004,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)",032639,-,9250 WEST THOMAS ROAD - SUITE 120,PHOENIX,AZ,85037,15,ICH CAHPS,80.57%,10,4,4,67.12%,7,4,4,86.50%,9,5,5,78.13%,10,3,4,73.93%,8,5,4,78.01%,8,4,4,9,-,4,5
032643 EAST TUCSON (FMC),032643,-,5555 E 5TH ST #155,TUCSON,AZ,85711,15,ICH CAHPS,75.21%,8,4,4,69.46%,8,4,4,88.56%,10,5,5,63.08%,5,3,4,69.00%,7,5,4,82.76%,10,4,4,8,-,4,5
032646-FMC-GLENDALE TOWN CENTER,032646,-,4407 WEST PEORIA AVE,GLENDALE,AZ,85302,15,ICH CAHPS,52.33%,0,4,4,55.07%,1,4,4,80.08%,5,5,5,38.91%,0,3,4,55.94%,3,5,4,56.17%,1,4,4,2,-,4,5
032647-FMC NORTH MOUNTAIN,032647,-,16605 NORTH 28TH AVENUE - SUITE 100,PHOENIX,AZ,85053,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
032648-FMC OLD TOWN SCOTTSDALE,032648,-,4141 N SCOTTSDALE RD - STE 100,SCOTTSDALE,AZ,85251,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",4,5
032649 PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC,032649,-,2545 EAST THOMAS ROAD - SUITE 100,PHOENIX,AZ,85016,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,7",4,5
032650 Fresenius Kidney Care Desert Sage,032650,-,4901 W MCDOWELL ROAD - SUITE 120,PHOENIX,AZ,85035,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",4,5
032653-Fresenius Kidney Care Westgate Home,032653,-,6622 N 91ST AVENUE - STE 210,Glendale,AZ,85305,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
032654-Fresenius Kidney Care Canyon Vista,032654,-,5555 MESA VERDE DR - SUITE 120,Sierra Vista,AZ,85635,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
032655-Evergreen Park Dialysis,032655,-,926 E MC DOWELL RD - SUITE 100,Phoenix,AZ,85006,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
032656-Fresenius Kidney Care Westgate,032656,-,6622 N 91ST AVE - SUITE 120,Glendale,AZ,85305,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
033503 GILA RIVER DIALYSIS WEST,033503,-,"9721 WEST PECOS RD- RR2, BOX 807",LAVEEN,AZ,85339,15,ICH CAHPS,73.29%,7,4,4,69.75%,8,4,4,85.54%,8,5,5,61.62%,5,3,4,75.11%,9,5,4,71.04%,6,4,4,7,-,4,5
033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS,033504,-,5141 W LAMAR RD,GLENDALE,AZ,85301,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,4,5
062303 UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS,062303,060024,12605 E. 16TH AVE,AURORA,CO,80045,15,ICH CAHPS,No Rate,0,5,4,No Rate,0,4,4,No Rate,0,6,5,No Rate,0,4,4,No Rate,0,5,4,No Rate,0,5,4,0,-,5,5
062311 THE CHILDRENS HOSPITAL KIDNEY CTR.,062311,063301,13123 E 16TH AVE #328,AURORA,CO,80045,15,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
062315 Heart of the Rockies Regional Dialysis Center,062315,061322,1000 RUSH DRIVE,SALIDA,CO,81201,15,ICH CAHPS,No Rate,0,5,4,No Rate,0,4,4,No Rate,0,6,5,No Rate,0,4,4,No Rate,0,5,4,No Rate,0,5,4,0,-,5,5
