"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"012515","08","FMC OPELIKA","2609 VILLAGE PROFESSIONAL DR","STE 2","OPELIKA","AL","36801","LEE","(334) 749-5085","Profit","Yes","FRESENIUS MEDICAL CARE","0","25","1","1","0","1982-09-07 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","5","001","0","001","79","1.29","2.2","0.81","001","As Expected","108","100","001","94","001","95","001","","254","72","94","827","24","213","0","0","84","001","2","001","99","877","001","133","1086","14","137","1156","001","8","24","28","26","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","0.9","0.9","0.24","0.48","Better than Expected","001","Better than Expected","001","116","545","0.45","0.67"
"012516","08","DSI SOUTH DIALYSIS","3201 3RD AVE SOUTH","","BIRMINGHAM","AL","35222","JEFFERSON","(205) 502-5300","Profit","Yes","NATIONAL RENAL INSTITUTES","0","20","1","1","1","1982-12-02 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","25","001","0","001","36","1.48","3.37","0.72","001","As Expected","48","100","001","99","001","","199","","254","31","36","358","4","36","0","0","39","001","6","001","38","377","001","65","613","3","68","655","001","13","30","26","17","14","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.52","1.77","0.46","0.9","As Expected","001","As Expected","001","51","261","0.83","1.28"
"012517","08","DVA HEALTHCARE RENAL CARE INC","15953 ATHENS LIMESTONE DRIVE","","ATHENS","AL","35613","LIMESTONE","(256) 233-4730","Profit","Yes","GAMBRO HEALTHCARE","0","12","1","0","1","1983-01-21 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","11","001","0","001","55","0.83","1.97","0.39","001","As Expected","75","95","001","92","001","","257","","254","58","88","652","0","0","0","0","72","001","3","001","95","746","001","89","802","1","89","813","001","10","29","35","14","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.6","1.38","0.6","0.84","As Expected","001","As Expected","001","86","416","0.96","1.08"
"012519","08","FMC SCOTTSBORO","20998 JOHN T. REID HWY","","SCOTTSBORO","AL","35768","JACKSON","(256) 259-4777","Profit","Yes","FRESENIUS MEDICAL CARE","0","21","1","0","0","1984-11-05 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","10","001","0","001","42","0.98","2.46","0.44","001","As Expected","56","100","001","91","001","","257","","254","53","57","544","0","0","0","0","89","001","6","001","61","574","001","66","544","3","69","568","001","5","21","26","32","16","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.5","1.24","0.46","0.62","As Expected","001","As Expected","001","65","257","0.82","0.89"
"012520","08","FMC TROY","606 BOTTS AVE","","TROY","AL","36081","PIKE","(334) 566-7266","Profit","Yes","FRESENIUS MEDICAL CARE","0","15","1","0","0","1984-11-19 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","3","001","0","001","65","0.93","1.98","0.48","001","As Expected","78","94","001","91","001","","257","","254","67","79","737","0","0","0","0","50","001","8","001","82","783","001","99","907","1","105","955","001","12","24","27","22","15","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.35","1.09","0.5","0.59","As Expected","001","As Expected","001","85","369","0.81","0.81"
"012521","08","DCI DOTHAN","1630 COLUMBIA HWY","","DOTHAN","AL","36303","HOUSTON","(334) 793-3519","Non-Profit","No","DIALYSIS CLINIC, INC.","0","33","1","1","0","1985-03-11 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","12","001","1","001","91","0.51","1.25","0.23","001","As Expected","108","100","001","96","001","81","001","","254","75","96","861","24","207","0","0","57","001","6","001","104","931","001","133","1233","3","142","1294","001","5","26","32","26","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.33","1.38","0.48","0.86","As Expected","001","As Expected","001","123","542","0.78","1.1"
"012522","08","FMC HUNTSVILLE","2325 PANSY STREET","SUITE C","HUNTSVILLE","AL","35801","MADISON","(256) 536-1881","Profit","Yes","FRESENIUS MEDICAL CARE","0","32","1","0","0","1985-08-20 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","16","001","0","001","55","1.04","2.25","0.53","001","As Expected","91","98","001","84","001","","257","","254","65","128","781","0","0","0","0","66","001","9","001","141","884","001","117","926","1","140","1024","001","12","26","25","20","17","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.39","1.5","0.5","0.9","As Expected","001","As Expected","001","105","463","0.82","1.17"
"012523","08","PHENIX CITY DIALYSIS","4391 RIVERCHASE DRIVE","","PHENIX CITY","AL","36867","RUSSELL","(334) 298-1941","Profit","Yes","DAVITA","0","20","1","1","0","1985-09-23 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","8","001","0","001","60","0.73","1.74","0.34","001","As Expected","84","100","001","95","001","95","001","","254","59","81","665","21","171","0","0","60","001","5","001","87","693","001","93","919","0","101","958","001","11","25","42","11","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.35","1.55","0.38","0.88","As Expected","001","As Expected","001","91","401","0.69","1.18"
"012524","08","FMC EAST MOBILE","1217 GOVERNMENT ST","","MOBILE","AL","36604","MOBILE","(251) 438-6917","Profit","Yes","FRESENIUS MEDICAL CARE","1","29","1","1","1","1985-12-01 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","14","001","0","001","92","1.13","1.96","0.69","001","As Expected","175","99","001","88","001","91","001","","254","76","114","809","51","438","0","0","62","001","4","001","121","862","001","210","1660","1","225","1709","001","11","28","27","22","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.49","1.42","0.65","0.95","As Expected","001","As Expected","001","190","937","0.96","1.17"
"012525","08","FMC WEST MOBILE","6601 WALL STREET","SUITE A","MOBILE","AL","36695","MOBILE","(251) 633-2681","Profit","Yes","FRESENIUS MEDICAL CARE","0","20","1","0","0","1985-12-02 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","5","001","0","001","56","0.34","1.35","0.1","001","As Expected","76","98","001","92","001","","257","","254","65","93","697","0","0","0","0","59","001","3","001","101","738","001","93","791","2","103","815","001","12","33","27","19","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.58","0.93","0.6","0.52","As Expected","001","Better than Expected","001","89","398","0.96","0.71"
"012526","08","RCG PRINCETON","708 COTTON AVE SW","","BIRMINGHAM","AL","35211","JEFFERSON","(205) 785-3500","Profit","Yes","RENAL CARE GROUP INC.","0","34","1","1","1","1985-09-18 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","11","001","0","001","74","0.99","1.83","0.58","001","As Expected","166","99","001","91","001","86","001","","254","77","97","891","37","71","0","0","53","001","2","001","110","954","001","200","1336","5","215","1404","001","11","29","28","22","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.51","1.38","0.62","0.96","As Expected","001","As Expected","001","180","1024","0.94","1.16"
"012527","08","DCI ENTERPRISE","3861 SALEM ROAD","","ENTERPRISE","AL","36330","COFFEE","(334) 347-8233","Non-Profit","No","DIALYSIS CLINIC, INC.","0","26","1","1","1","1986-07-04 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","3","001","0","001","64","0.33","1.22","0.11","001","As Expected","71","100","001","98","001","","201","","254","68","79","744","0","0","0","0","65","001","6","001","84","800","001","86","880","2","90","906","001","6","25","37","22","10","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.17","0.99","0.37","0.54","As Expected","001","Better than Expected","001","82","399","0.64","0.74"
"012528","08","FMC CAHABA VALLEY","120 CAHABA VALLEY PARKWAY","SUITE 150","PELHAM","AL","35124","SHELBY","(205) 988-0469","Profit","Yes","RENAL CARE GROUP INC.","0","24","1","0","0","1986-09-17 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","10","001","0","001","39","0.68","2.3","0.23","001","As Expected","52","100","001","89","001","","257","","254","43","76","502","0","0","0","0","60","001","5","001","81","537","001","65","540","7","66","560","001","8","20","26","26","21","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.73","1.37","0.58","0.78","As Expected","001","As Expected","001","59","334","1","1.05"
"012529","08","FLORENCE DIALYSIS","422 EAST DR. HICKS BLVD","","FLORENCE","AL","35630","LAUDERDALE","(256) 764-5050","Profit","Yes","GAMBRO HEALTHCARE","0","18","1","1","0","1986-09-16 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","16","001","0","001","85","1.49","2.45","0.96","001","As Expected","124","100","001","96","001","90","001","","254","64","92","704","57","376","0","0","40","001","4","001","100","778","001","144","1159","1","156","1243","001","11","33","37","11","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.54","1.33","0.63","0.87","As Expected","001","As Expected","001","136","572","0.97","1.08"
"012530","08","RAI EAST 11TH ST ANNISTON","522 EAST 11TH STREET","1ST FLOOR","ANNISTON","AL","36207","CALHOUN","(256) 237-7566","Profit","Yes","INDEPENDENT","0","21","1","0","0","1987-01-07 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","20","001","0","001","54","1.41","2.75","0.78","001","As Expected","74","100","001","92","001","","257","","254","62","88","728","0","0","0","0","57","001","6","001","90","777","001","52","121","2","56","136","001","13","35","27","18","6","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.33","1.62","0.43","0.97","As Expected","001","As Expected","001","82","389","0.74","1.26"
"012531","08","FMC JACKSON (TOMBIGBEE)","215 WALKER SPRINGS RD","","JACKSON","AL","36545","CLARKE","(251) 246-6667","Profit","Yes","FRESENIUS MEDICAL CARE","0","24","1","1","1","1987-01-29 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","16","001","0","001","58","1.01","2.14","0.52","001","As Expected","73","98","001","91","001","","199","","254","56","80","647","10","76","0","0","60","001","4","001","85","673","001","81","698","1","87","727","001","12","21","28","27","12","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.22","1.36","0.4","0.74","As Expected","001","As Expected","001","79","321","0.69","1.02"
"012532","08","DCI EUFAULA","123 A EAST BARBOUR STREET","","EUFAULA","AL","36027","BARBOUR","(334) 687-7071","Non-Profit","No","DIALYSIS CLINIC, INC.","0","14","1","0","0","1987-11-25 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","9","001","3","001","33","0.31","2.58","0.05","001","As Expected","34","100","001","96","001","","257","","254","34","44","362","0","0","0","0","66","001","1","001","46","378","001","48","440","2","49","447","001","9","33","30","23","5","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.73","1.21","0.49","0.56","As Expected","001","As Expected","001","43","219","0.91","0.84"
"012533","08","WALKER COUNTY DIALYSIS","260 6TH AVENUE NORTH","","JASPER","AL","35504","WALKER","(205) 221-1064","Profit","Yes","NATIONAL RENAL INSTITUTES","0","13","1","1","1","1987-12-29 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","0","001","0","001","25","0.4","2.5","0.08","001","As Expected","31","100","001","97","001","","199","","254","25","34","278","3","34","0","0","68","001","5","001","37","304","001","42","397","1","44","409","001","15","33","39","7","6","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.62","1.5","0.35","0.68","As Expected","001","As Expected","001","34","172","0.75","1.03"
"012534","08","BESSEMER KIDNEY CENTER","975 9TH AVE SW","SUITE 500","BESSEMER","AL","35022","JEFFERSON","(205) 424-3757","Profit","Yes","RENAL CARE GROUP INC.","0","36","1","0","0","1988-03-22 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","20","001","0","001","46","1.11","2.79","0.5","001","As Expected","76","96","001","76","001","","257","","254","49","70","500","0","0","0","0","46","001","10","001","76","541","001","108","849","9","118","894","001","15","24","27","23","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","2.2","1.51","0.85","0.98","As Expected","001","As Expected","001","81","533","1.35","1.22"
"012535","08","PCD PRATTVILLE","1815 GLYNWOOD DRIVE","","PRATTVILLE","AL","36066","AUTAUGA","(334) 361-0010","Profit","Yes","DAVITA","0","16","1","0","0","1990-01-26 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","27","001","0","001","41","1.22","2.9","0.57","001","As Expected","50","100","001","92","001","","257","","254","39","64","458","0","0","0","0","47","001","7","001","70","523","001","72","593","1","74","625","001","16","29","41","9","5","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.6","1.15","0.58","0.59","As Expected","001","As Expected","001","55","302","0.95","0.84"
"012536","08","FMC MONTCLAIR","3918 MONTCLAIR RD","SUITE 110","BIRMINGHAM","AL","35213","JEFFERSON","(205) 871-0999","Profit","Yes","RENAL CARE GROUP INC.","0","24","1","0","0","1990-09-12 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","16","001","0","001","43","1.06","2.47","0.51","001","As Expected","77","100","001","80","001","","257","","254","42","84","554","0","0","0","0","53","001","6","001","89","596","001","103","776","10","106","797","001","10","26","25","24","15","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.67","1.18","0.57","0.67","As Expected","001","As Expected","001","88","454","0.96","0.9"
"012537","08","FMC PRICHARD","4016 HWY 45","","WHISTLER","AL","36613","MOBILE","(251) 330-1623","Profit","Yes","FRESENIUS MEDICAL CARE","0","25","1","0","0","1990-04-23 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","14","001","0","001","43","0.69","1.84","0.29","001","As Expected","77","100","001","89","001","","257","","254","48","74","557","0","0","0","0","69","001","2","001","76","578","001","111","955","4","118","995","001","14","33","26","19","9","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.57","1.26","0.53","0.74","As Expected","001","As Expected","001","86","467","0.9","0.98"
"012538","08","RCG ANDALUSIA","1208 WEST BYPASS","","ANDALUSIA","AL","36420","COVINGTON","(334) 427-0147","Profit","Yes","RENAL CARE GROUP INC.","0","21","1","1","1","1991-06-26 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","0","001","0","001","28","0.5","2.24","0.13","001","As Expected","43","97","001","92","001","","201","","254","32","45","369","0","0","0","0","64","001","7","001","49","413","001","48","418","0","52","453","001","8","23","29","28","11","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.31","1.72","0.29","0.88","As Expected","001","As Expected","001","51","211","0.6","1.25"
"012540","08","FMC MONROEVILLE (WHETSTONE)","676 S ALABAMA AVE","","MONROEVILLE","AL","36460","MONROE","(251) 575-3452","Profit","Yes","FRESENIUS MEDICAL CARE","0","20","1","1","0","1991-09-18 00:00:00","01/01/2013-12/31/2013","01/01/2013-12/31/2013","01/01/2013-12/31/2013","4","001","0","001","23","0.62","2.78","0.17","001","As Expected","35","100","001","96","001","","199","","254","23","32","271","4","29","0","0","62","001","2","001","33","286","001","40","326","2","42","357","001","8","27","25","27","14","01/01/2010-12/31/2013","01/01/2013-12/31/2013","1.03","1.59","0.15","0.67","As Expected","001","As Expected","001","35","162","0.37","1.06"
