"State","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Healthcare worker COVID-19 vaccination adherence percentage (STATE)","Percentage Of Patients With Hgb<10 g/dL (STATE)","Percentage of patients with Hgb>12 g/dL (STATE)","SEDR - Better Than Expected (STATE)","SEDR - As Expected (STATE)","SEDR - Worse Than Expected (STATE)","ED30 - Better Than Expected (STATE)","ED30 - As Expected (STATE)","ED30 - Worse Than Expected (STATE)","N FOR SMSR CATEGORY 1: SMSR-Better than expected (State)","N FOR SMSR CATEGORY 2: SMSR-As Expected (State)","N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)"
GU,0,3,0,0,3,0,0,2,1,0,3,0,3,0,0,98,96,0,86,0,0,5,0,17,8,5,17,22,29,27,0,0,3,0,1,4,0,17,0,0,3,0,0,2,1,0,0,3
HI,8,28,0,5,32,0,5,29,0,0,28,0,17,19,0,98,97,100,87,86,0,40,0,11,1,7,24,28,24,17,0,20,6,1,37,2,0,11,0,0,33,1,0,32,2,1,26,6
IA,0,60,2,3,59,0,4,43,2,0,37,3,23,37,0,98,93,75,92,43,0,60,0,21,3,7,23,29,26,15,5,17,1,0,58,1,4,16,1,0,52,7,0,55,2,13,43,0
ID,0,26,1,1,26,0,1,22,0,1,22,0,11,14,0,99,96,,71,,0,26,0,20,1,7,23,27,25,17,2,13,0,1,26,0,1,16,1,0,23,4,0,23,2,9,13,0
IL,15,306,7,2,301,20,3,300,17,0,197,9,144,120,1,97,92,97,82,96,4,268,20,22,2,8,23,28,25,17,13,142,2,14,309,4,2,23,0,0,293,18,7,305,3,29,235,14
IN,6,146,2,0,154,2,3,148,3,0,103,8,73,71,1,96,95,97,81,97,1,147,7,20,1,7,23,27,25,17,2,65,4,2,145,5,4,25,1,0,141,11,0,144,5,24,118,2
KS,1,55,1,1,56,0,0,53,0,0,35,2,22,33,0,98,95,50,,100,2,54,0,14,1,7,21,26,26,20,1,22,0,0,52,4,1,18,0,0,54,3,1,53,2,10,44,0
KY,2,109,4,0,113,5,3,108,3,0,53,5,38,70,0,97,94,91,100,94,0,115,0,16,1,7,22,28,25,19,1,45,0,1,115,4,1,23,0,0,102,9,2,100,6,12,96,0
LA,0,164,4,3,164,3,1,157,9,0,95,5,62,94,0,98,94,84,70,92,2,159,5,16,1,8,23,28,24,17,6,61,0,3,163,3,1,22,0,0,139,19,0,149,12,8,141,4
MA,6,73,0,0,76,3,1,73,3,0,68,3,41,32,1,98,91,100,100,99,3,75,0,19,2,7,24,29,25,16,17,26,0,48,32,0,12,25,0,0,77,1,3,76,0,4,67,4
MD,1,152,9,6,157,0,4,151,3,0,134,8,85,55,2,97,90,99,80,98,0,156,3,19,2,8,23,28,25,17,3,88,3,6,150,1,5,24,0,0,154,7,4,156,0,6,136,7
ME,1,19,0,2,18,0,0,20,0,0,17,0,7,12,0,98,93,100,0,100,0,20,0,19,2,6,23,31,24,17,3,3,0,3,17,0,3,21,0,0,16,4,0,19,1,3,16,1
MI,14,197,0,2,195,19,3,199,9,0,148,18,95,94,0,97,93,86,85,92,3,182,16,19,1,6,23,30,25,16,5,106,3,2,209,4,2,21,1,1,199,9,8,197,5,19,164,7
MN,3,109,0,0,109,3,4,98,1,0,57,1,34,72,0,98,94,100,100,100,2,107,0,20,1,7,22,27,26,18,4,31,0,6,102,1,5,19,0,0,93,12,1,95,5,10,82,4
MO,4,140,4,0,144,7,0,145,4,0,98,9,67,63,1,97,93,83,96,88,1,136,5,19,1,7,22,27,26,19,2,65,1,3,146,1,5,23,1,0,141,5,3,143,0,31,96,4
MP,0,2,0,1,1,0,0,1,1,0,2,0,0,2,0,90,94,92,,92,0,2,1,14,8,4,14,28,33,21,0,0,1,0,0,3,,39,3,1,1,0,0,3,0,0,1,1
MS,0,95,0,7,89,0,2,91,1,0,73,9,39,42,1,98,95,92,65,92,7,78,7,16,1,9,23,28,23,17,0,60,3,0,90,8,0,26,0,0,77,16,0,82,12,2,73,5
MT,0,17,0,1,16,0,0,14,0,0,14,0,5,11,1,97,88,100,0,100,0,17,0,21,2,6,20,25,27,22,0,9,0,0,16,1,4,11,1,0,15,2,0,15,2,5,9,1
NC,3,237,2,5,238,3,3,237,1,0,167,10,102,130,4,98,94,99,84,100,14,223,4,16,1,8,21,26,26,19,3,143,0,9,236,3,3,22,0,1,223,14,2,231,3,26,198,5
ND,0,13,0,0,12,1,0,13,0,0,12,0,3,8,1,94,89,86,80,100,1,11,1,21,2,9,25,27,25,14,1,5,0,0,13,0,4,36,1,0,11,2,0,13,0,1,11,1
NE,1,32,1,0,32,1,0,30,0,0,24,1,8,20,1,97,94,96,94,100,1,32,0,19,1,7,24,29,24,16,1,17,0,0,32,1,5,18,1,0,31,1,0,32,1,6,21,0
NH,0,18,0,0,18,0,0,18,0,0,13,1,6,11,0,97,93,100,,100,0,18,0,23,1,6,21,28,26,19,1,7,0,5,14,0,3,21,0,0,18,0,0,18,0,3,14,1
NJ,6,176,2,1,172,11,3,176,5,0,150,8,94,82,0,98,95,97,87,99,18,156,8,14,2,8,25,31,23,13,19,83,1,20,163,0,2,16,1,4,173,5,6,171,1,9,145,23
NM,2,49,4,0,60,0,3,52,1,0,38,2,21,32,0,98,91,84,94,88,2,54,0,21,1,8,23,27,25,18,0,30,4,1,56,3,2,18,1,1,50,7,0,52,3,3,45,1
NV,0,52,0,0,47,5,0,48,3,0,48,0,39,8,0,98,93,96,60,97,0,50,2,19,1,7,22,28,25,19,1,35,9,1,45,5,2,19,1,0,48,4,5,46,1,7,37,6
NY,23,284,6,1,301,16,6,294,18,0,232,7,157,107,4,95,86,82,87,81,49,271,10,18,3,9,24,28,24,14,28,159,1,34,282,5,8,24,1,10,290,5,14,287,3,11,209,78
OH,9,290,4,1,281,20,4,291,3,0,90,6,99,170,1,97,93,91,81,95,3,279,12,22,2,7,23,28,25,18,10,103,2,1,290,14,1,22,1,0,257,12,3,261,12,41,225,5
OK,0,79,2,0,74,9,0,80,3,0,68,4,40,32,0,97,93,93,86,91,5,74,1,20,1,7,20,26,26,21,1,55,2,0,77,7,1,21,0,0,66,15,1,71,10,18,59,0
OR,0,65,1,0,66,0,2,62,1,0,48,2,34,27,0,98,91,100,81,88,2,61,0,17,1,6,21,28,26,19,0,42,0,0,62,5,3,17,1,0,55,8,0,56,5,7,50,0
PA,17,274,4,2,275,16,6,274,12,0,162,11,128,140,3,97,92,70,62,72,4,277,4,20,2,8,24,29,24,15,15,84,1,36,256,1,2,19,0,0,277,1,8,274,1,25,239,9
PR,0,35,11,2,44,2,1,33,13,0,4,2,39,7,0,99,98,100,72,100,0,24,24,34,1,9,26,32,23,9,0,34,6,0,49,1,5,11,1,0,33,0,1,38,0,1,27,18
RI,0,16,0,0,15,1,0,16,0,0,11,0,2,13,1,99,87,90,50,100,1,15,0,16,1,7,21,28,25,19,2,7,0,5,11,0,10,30,0,0,16,0,1,14,0,0,16,0
SC,0,142,7,4,139,6,2,138,6,0,97,10,63,73,1,97,95,97,89,100,1,124,19,12,1,8,22,26,26,18,6,75,0,6,144,1,1,24,0,0,130,15,0,139,5,12,118,4
SD,2,21,0,0,23,0,0,16,0,0,14,0,0,16,3,96,93,100,75,100,2,20,0,19,1,8,26,30,22,14,3,2,0,2,20,0,7,18,0,2,16,2,1,19,1,1,15,1
TN,0,183,5,0,183,7,2,173,9,0,109,10,77,90,0,97,94,22,63,8,0,183,2,20,1,7,21,26,26,21,11,88,2,8,179,3,1,23,0,0,174,8,2,177,1,17,143,7
TX,6,679,23,4,670,47,15,668,27,0,461,40,380,265,1,97,92,93,83,94,30,656,16,16,2,7,22,27,25,19,28,441,43,19,700,10,3,19,1,0,648,37,6,662,14,40,562,60
UT,0,48,1,1,49,0,3,40,0,0,30,1,17,21,3,97,91,100,88,99,4,44,1,16,1,7,22,25,26,20,1,19,1,0,48,3,2,21,1,0,42,4,0,44,0,3,38,1
VA,1,191,10,6,196,1,6,188,1,0,132,12,101,79,0,97,92,99,48,99,9,180,9,20,2,7,22,28,25,18,9,106,1,9,191,1,3,22,1,0,173,23,1,184,10,17,166,2
VI,0,4,0,1,3,0,0,3,0,0,4,0,0,0,0,94,,,,,0,3,1,18,26,12,27,26,24,11,0,1,0,0,4,0,26,47,1,0,4,0,0,4,0,0,3,1
VT,0,8,0,1,6,0,0,7,0,0,5,1,1,6,0,97,77,,,,0,7,0,26,3,5,20,27,30,18,0,1,0,0,8,0,24,21,1,0,4,3,0,5,3,1,6,0
WA,0,97,2,2,100,1,1,98,1,0,77,3,43,55,0,98,95,82,89,81,11,93,0,18,1,6,20,26,27,21,1,60,2,2,104,1,3,15,1,0,93,5,0,93,4,7,84,2
WI,2,117,1,1,118,2,3,110,2,0,77,4,45,66,2,98,92,97,87,100,2,114,2,22,1,7,23,29,25,16,2,50,2,2,117,1,13,18,1,0,98,19,0,102,14,12,99,3
WV,0,39,0,2,33,4,0,39,0,1,15,6,17,21,0,98,96,100,100,100,0,37,2,28,1,7,22,27,25,18,2,15,0,0,39,0,3,25,0,0,36,3,0,37,2,10,27,1
WY,0,10,0,0,10,0,0,10,0,0,5,1,1,9,0,95,95,100,,100,2,8,0,20,1,8,22,25,24,20,0,3,0,0,10,0,10,18,2,0,7,2,0,10,0,1,7,1
