"State","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of Nephrologists’ communication and caring","Linearized score of quality of dialysis center care and operations","Linearized score of providing information to patients","Linearized score of rating of the nephrologist","Linearized score of rating of the dialysis center staff","Linearized score of rating of the dialysis facility","ICH-CAHPS survey response rate","Total number of completed interviews form the Fall and Spring Surveys"
"NY","19","15","66","19","19","62","23","77","15","27","58","11","29","60","12","23","65","80","79","77","83","85","86","31","11683"
"OH","17","15","68","16","19","65","18","82","14","26","60","10","25","65","10","20","70","82","82","82","85","87","88","33","6872"
"OK","16","15","69","16","21","63","18","82","12","25","63","10","24","66","10","19","71","82","81","82","86","87","88","31","2096"
"OR","15","15","70","15","20","65","17","83","12","23","65","9","24","67","9","18","73","83","82","83","86","87","89","35","1987"
"PA","17","15","68","16","20","64","19","81","14","26","60","11","23","66","11","19","70","82","81","81","84","87","88","33","7664"
"PR","18","17","65","18","20","62","15","85","16","22","62","11","22","67","13","19","68","80","80","85","84","87","87","33","2611"
"RI","10","15","75","11","17","72","17","83","7","23","70","4","20","76","4","17","79","88","86","83","89","91","93","31","446"
"SC","20","13","67","21","19","60","21","79","14","29","57","14","29","57","14","22","64","80","78","79","84","84","86","33","4248"
"SD","14","12","74","10","16","74","16","84","13","18","69","6","21","73","5","13","82","85","87","84","87","90","93","22","188"
"TN","21","15","64","18","18","64","18","82","17","28","55","11","26","63","12","20","68","78","80","82","82","86","87","35","4747"
"TX","17","14","69","19","18","63","20","80","13","25","62","11","26","63","12","19","69","82","80","80","85","86","87","30","19954"
"UT","19","16","65","12","17","71","18","82","16","25","59","6","20","74","6","13","81","80","86","82","83","90","92","31","748"
"VA","19","16","65","19","19","62","19","81","15","28","57","12","26","62","12","21","67","80","80","81","83","85","87","32","5227"
"VI","32","11","57","21","9","70","22","78","32","22","46","11","25","64","16","15","69","72","82","78","79","86","87","21","30"
"VT","16","15","69","13","19","68","22","78","14","27","59","7","19","74","8","10","82","83","84","78","84","90","92","35","160"
"WA","12","13","75","14","19","67","16","84","9","21","70","8","23","69","9","16","75","87","83","84","89","88","90","33","3089"
"WI","17","15","68","17","20","63","17","83","14","26","60","11","25","64","12","18","70","82","81","83","84","86","88","34","2857"
"WV","17","17","66","15","21","64","17","83","15","27","58","10","25","65","11","19","70","81","82","83","84","87","88","35","955"
"WY","13","14","73","13","22","65","15","85","10","22","68","10","17","73","6","18","76","85","83","85","87","88","91","41","175"
