"STATE","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE) ","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Percentage Of Patients With Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL"
"NY","0","219","46","81","159","13","96","87","90","75",88,41,247,9,14,2,9,25,30,23,13,"2","276","13","7","267","23","52","213","26",38,151,4,61,233,4,23,1
"OH","0","270","6","38","243","9","97","92","99","88",99,3,288,17,15,1,7,24,31,23,15,"1","281","41","6","298","16","23","282","17",3,129,2,4,303,18,20,0
"OK","0","76","4","15","61","2","97","95","99","85",98,5,77,0,14,2,7,22,29,23,19,"1","83","0","1","83","2","2","74","7",0,55,5,0,77,8,20,0
"OR","0","61","1","18","45","0","98","95","100","91",100,1,65,0,11,1,6,24,32,23,14,"1","68","1","1","65","0","4","60","2",2,31,3,1,66,4,14,0
"PA","0","244","22","38","239","6","97","90","90","88",96,8,291,3,13,1,8,26,32,21,13,"0","289","15","5","286","17","31","258","10",18,104,1,33,269,0,20,0
"PR","0","14","30","29","15","1","98","93","100","75",86,1,28,19,27,1,9,28,32,22,9,"0","26","19","0","43","4","0","8","37",0,27,11,0,40,9,9,0
"RI","0","12","3","1","14","1","99","86","","100",100,2,14,0,11,1,6,21,29,28,17,"0","15","1","0","16","0","2","14","0",2,6,0,2,14,0,20,0
"SC","0","133","16","22","118","2","97","91","90","45",100,2,134,13,9,1,9,24,29,23,15,"0","152","2","2","148","4","4","135","12",3,92,8,3,152,2,21,0
"SD","0","20","0","0","16","5","96","91","100","",100,2,21,1,18,3,8,27,32,21,12,"1","23","0","0","22","0","3","21","1",2,5,0,1,22,1,22,0
"TN","0","154","21","34","140","0","97","92","70","90",49,1,185,4,15,2,7,22,29,24,17,"2","183","8","4","177","8","3","164","17",8,91,9,6,186,4,20,0
"TX","2","593","35","163","462","12","97","90","94","64",90,20,647,24,12,2,8,23,31,22,16,"2","665","24","13","652","25","19","574","50",20,420,37,22,691,12,18,0
"UT","0","36","1","5","32","1","97","93","76","89",71,3,39,0,10,2,7,23,29,25,16,"0","44","0","4","36","0","1","40","1",1,22,0,0,43,1,18,1
"VA","0","171","11","34","148","4","97","92","99","43",100,6,178,10,14,2,8,24,31,22,15,"2","192","3","6","187","3","15","167","9",9,100,4,6,193,2,20,0
"VI","0","4","0","0","2","1","92","","","",,0,2,2,25,26,11,27,26,25,11,"0","4","0","0","4","0","0","4","0",0,0,0,0,3,1,33,3
"VT","0","5","0","0","6","0","97","62","","",,0,7,0,20,6,4,24,31,26,14,"0","5","1","0","7","0","0","7","0",0,1,0,0,7,0,30,0
"WA","0","89","1","20","56","2","97","92","96","87",90,12,84,0,12,1,7,21,28,26,18,"2","91","1","5","86","3","8","83","2",2,53,4,1,93,3,18,0
"WI","0","108","5","14","97","6","97","90","91","83",99,3,118,0,15,1,8,26,30,22,14,"1","122","1","4","115","1","9","112","4",2,45,2,2,119,3,17,0
"WV","0","25","14","10","32","1","97","96","","68",100,0,42,2,19,1,8,24,29,23,15,"0","43","1","2","42","1","0","43","1",1,21,1,0,42,3,26,0
"WY","0","9","0","2","7","0","97","90","100","",100,1,9,0,13,1,7,22,27,26,18,"1","9","0","0","9","0","2","8","0",0,2,1,0,10,0,12,0
