Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
DSI SOUTH DIALYSIS,012516,,,,3201 3RD AVENUE SOUTH,,BIRMINGHAM,AL,35222,8,10,0%,36,0%,35,Achievement,10,99%,36,357,97%,343,Achievement,N/A,Insufficient data,N/A,36,Insufficient data,11,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,40%,34,368,31%,346,Improvement,9,6%,35,348,11%,325,Achievement,6,10,10,10,10,90,No reduction,12/02/1982,NATIONAL RENAL INSTITUTES,08/23/2012
DVA HEALTHCARE RENAL CARE INC,012517,,,,15953 ATHENS LIMESTONE DRIVE,,ATHENS,AL,35613,8,10,0%,55,0%,53,Achievement,7,94%,79,596,93%,550,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,9,73%,66,702,69%,620,Achievement,10,3%,69,661,6%,597,Achievement,10,10,10,10,10,93,No reduction,01/21/1983,GAMBRO HEALTHCARE,01/27/2014
FMC SCOTTSBORO,012519,,,,20998 JOHN T REID HIGHWAY,,SCOTTSBORO,AL,35768,8,10,0%,42,2%,43,Achievement,5,92%,57,537,94%,527,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,91%,54,558,84%,546,Achievement,10,5%,54,520,4%,505,Achievement,10,10,10,10,10,88,No reduction,11/05/1984,FRESENIUS MEDICAL CARE,10/23/2013
FMC TROY,012520,,,,606 BOTTS AVENUE,,TROY,AL,36081,8,10,0%,65,2%,60,Achievement,5,92%,78,732,93%,702,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,1,50%,74,768,48%,715,Achievement,8,8%,75,713,13%,697,Achievement,5,10,10,10,10,75,No reduction,11/19/1984,FRESENIUS MEDICAL CARE,03/05/2012
DCI DOTHAN,012521,,,,1630 COLUMBIA HIGHWAY,,DOTHAN,AL,36303,8,8,1%,91,0%,95,Achievement,10,97%,95,851,96%,884,Achievement,6,81%,25,207,82%,159,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,4,58%,88,903,53%,924,Achievement,10,5%,92,858,8%,872,Achievement,7,10,10,10,10,85,No reduction,03/11/1985,"DIALYSIS CLINIC, INC.",03/05/2012
FMC HUNTSVILLE,012522,,,,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,8,10,0%,55,4%,56,Achievement,3,89%,109,738,90%,659,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,7,66%,79,777,61%,676,Achievement,7,9%,84,698,11%,619,Achievement,7,10,10,10,10,75,No reduction,08/20/1985,FRESENIUS MEDICAL CARE,03/05/2012
PHENIX CITY DIALYSIS,012523,,,,1900 OPELIKA ROAD,,PHENIX CITY,AL,36867,8,10,0%,60,0%,64,Achievement,10,97%,76,630,97%,577,Achievement,10,99%,21,164,93%,197,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,61%,62,654,53%,647,Achievement,10,3%,64,623,6%,618,Achievement,8,10,10,10,10,95,No reduction,09/23/1985,DAVITA,03/05/2012
FMC EAST MOBILE,012524,,,,1217 GOVERNMENT STREET,,MOBILE,AL,36604,8,10,0%,92,0%,101,Achievement,5,92%,100,765,93%,776,Achievement,9,91%,51,435,93%,470,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,6,65%,85,801,62%,839,Achievement,10,4%,95,741,5%,807,Achievement,8,10,10,10,10,85,No reduction,12/01/1985,FRESENIUS MEDICAL CARE,03/05/2012
FMC WEST MOBILE,012525,,,,6601 WALL STREET,SUITE A,MOBILE,AL,36695,8,10,0%,56,0%,56,Achievement,7,94%,85,685,87%,698,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,59%,72,696,68%,715,Achievement,10,2%,75,655,2%,668,Achievement,7,10,10,10,10,85,No reduction,12/02/1985,FRESENIUS MEDICAL CARE,08/29/2012
RCG PRINCETON,012526,,,,708 COTTON AVENUE SOUTHWEST,,BIRMINGHAM,AL,35211,8,10,0%,74,0%,101,Achievement,6,93%,91,871,86%,842,Achievement,7,86%,37,71,77%,383,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,2,53%,86,911,50%,977,Achievement,10,2%,99,874,3%,925,Achievement,6,10,10,10,10,80,No reduction,09/18/1985,RENAL CARE GROUP INC.,03/05/2012
DCI ENTERPRISE,012527,,,,3861 SALEM ROAD,,ENTERPRISE,AL,36330,8,10,0%,64,0%,70,Achievement,10,98%,78,739,98%,758,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,66%,73,780,61%,816,Achievement,8,7%,78,751,7%,774,Achievement,8,10,10,10,10,95,No reduction,07/04/1986,"DIALYSIS CLINIC, INC.",07/23/2009
FMC CAHABA VALLEY,012528,,,,120 CAHABA VALLEY PARKWAY,Suite 150,PELHAM,AL,35124,8,10,0%,39,2%,44,Achievement,6,92%,68,486,81%,497,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,5,62%,46,481,63%,505,Achievement,10,5%,53,457,5%,486,Achievement,8,10,10,10,10,85,No reduction,09/17/1986,RENAL CARE GROUP INC.,03/03/2009
FLORENCE DIALYSIS,012529,,,,422 EAST DRIVE HICKS BOULEVARD,,FLORENCE,AL,35630,8,10,0%,85,0%,94,Achievement,10,98%,86,663,98%,728,Achievement,9,91%,56,369,89%,365,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,41%,74,737,41%,791,Achievement,10,4%,85,690,6%,733,Achievement,5,10,10,10,10,88,No reduction,09/16/1986,GAMBRO HEALTHCARE,03/05/2012
RAI EAST 11TH ST ANNISTON,012530,,,,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,8,10,0%,54,0%,51,Achievement,5,92%,85,706,97%,707,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,4,57%,73,748,58%,745,Achievement,9,6%,76,705,6%,687,Achievement,7,10,10,7,10,78,No reduction,01/07/1987,NOT A CHAIN,03/05/2012
FMC JACKSON (TOMBIGBEE),012531,,,,215 WALKER SPRINGS ROAD,,JACKSON,AL,36545,8,10,0%,58,2%,53,Achievement,7,94%,70,624,96%,619,Achievement,N/A,Insufficient data,N/A,76,Insufficient data,45,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,5,62%,61,632,54%,625,Achievement,10,4%,66,599,4%,599,Achievement,8,10,10,10,10,88,No reduction,01/29/1987,FRESENIUS MEDICAL CARE,08/09/2012
DCI EUFAULA,012532,,,,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,8,4,3%,33,0%,39,Achievement,10,98%,43,355,98%,421,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,66%,36,359,59%,433,Achievement,10,1%,39,341,3%,420,Achievement,9,10,10,10,10,83,No reduction,11/25/1987,"DIALYSIS CLINIC, INC.",06/20/2012
WALKER COUNTY DIALYSIS,012533,,,,260 6TH AVENUE NORTH,,JASPER,AL,35504,8,10,0%,25,0%,25,Achievement,10,99%,32,271,99%,242,Achievement,N/A,Insufficient data,N/A,34,Insufficient data,24,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,70%,28,290,63%,280,Achievement,10,5%,30,271,4%,258,Achievement,9,10,10,10,10,98,No reduction,12/29/1987,NATIONAL RENAL INSTITUTES,03/05/2014
BESSEMER KIDNEY CENTER,012534,,,,975 9TH AVENUE SOUTHWEST,SUITE 500,BESSEMER,AL,35022,8,10,0%,46,0%,51,Achievement,0,82%,65,460,88%,553,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,1,47%,57,515,45%,640,Achievement,7,10%,58,479,7%,606,Achievement,4,10,10,7,10,58,0.5%,03/22/1988,RENAL CARE GROUP INC.,04/13/2010
PCD PRATTVILLE,012535,,,,1815 GLYNWOOD DRIVE,,PRATTVILLE,AL,36066,8,10,0%,41,0%,40,Achievement,9,96%,53,411,95%,469,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,1,47%,47,494,45%,486,Achievement,7,10%,51,452,9%,461,Achievement,4,10,10,10,10,83,No reduction,01/26/1990,DAVITA,07/30/2012
FMC MONTCLAIR,012536,,,,3918 MONTCLAIR ROAD,SUITE 110,BIRMINGHAM,AL,35213,8,10,0%,43,0%,59,Achievement,0,82%,78,534,93%,728,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,3,54%,51,507,53%,761,Achievement,9,6%,70,525,6%,728,Achievement,6,10,9,8,10,63,No reduction,09/12/1990,RENAL CARE GROUP INC.,02/19/2009
FMC PRICHARD,012537,,,,4016 HIGHWAY 45,,WHISTLER,AL,36613,8,10,0%,43,2%,54,Achievement,5,92%,67,541,92%,593,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,8,70%,51,531,72%,596,Achievement,10,3%,58,503,3%,551,Achievement,9,10,10,10,10,85,No reduction,04/23/1990,FRESENIUS MEDICAL CARE,03/05/2012
RCG ANDALUSIA,012538,,,,1208 WEST BYPASS,,ANDALUSIA,AL,36420,8,10,0%,28,0%,31,Achievement,7,93%,44,364,83%,327,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,6,64%,38,391,82%,319,Achievement,8,8%,41,352,1%,306,Achievement,7,10,10,10,10,85,No reduction,06/26/1991,RENAL CARE GROUP INC.,03/28/2014
FMC MONROEVILLE (WHETSTONE),012540,,,,676 SOUTH ALABAMA AVENUE,,MONROEVILLE,AL,36460,8,10,0%,23,0%,26,Achievement,10,97%,30,264,97%,308,Achievement,N/A,Insufficient data,N/A,29,Insufficient data,7,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,62%,26,276,74%,320,Achievement,10,3%,27,260,0%,306,Achievement,8,10,10,10,10,95,No reduction,09/18/1991,FRESENIUS MEDICAL CARE,09/23/2011
FMC DADEVILLE,012541,,,,52 WATERWORKS ROAD,,DADEVILLE,AL,36853,8,10,0%,24,0%,20,Achievement,7,94%,35,293,93%,258,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,10,90%,30,310,86%,270,Achievement,10,4%,30,278,3%,252,Achievement,10,10,10,9,10,92,No reduction,03/11/1992,FRESENIUS MEDICAL CARE,05/17/2007
RAINBOW CITY DIALYSIS,012542,,,,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,8,10,0%,37,0%,45,Achievement,10,97%,47,362,97%,483,Achievement,10,100%,12,118,93%,109,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,60%,40,395,58%,526,Achievement,6,12%,45,386,10%,495,Achievement,6,10,10,10,10,90,No reduction,05/05/1992,GAMBRO HEALTHCARE,06/18/2012
DEMOPOLIS DIALYSIS,012543,,,,511 SOUTH CEDAR STREET,,DEMOPOLIS,AL,36732,8,10,0%,60,0%,61,Achievement,9,96%,84,621,96%,636,Achievement,N/A,Insufficient data,N/A,61,Insufficient data,53,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,0,45%,67,676,45%,649,Achievement,10,4%,70,624,4%,606,Achievement,5,10,10,10,10,85,No reduction,05/20/1992,GAMBRO HEALTHCARE,11/07/2011
OZARK DIALYSIS,012544,,,,214 HOSPITAL AVENUE,,OZARK,AL,36360,8,10,0%,33,0%,31,Achievement,7,94%,49,376,94%,346,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,57%,40,414,56%,374,Achievement,10,2%,40,375,0%,341,Achievement,7,10,10,10,10,85,No reduction,08/04/1992,GAMBRO HEALTHCARE,09/23/2011
TUSCALOOSA DIALYSIS,012545,,,,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,8,10,0%,75,0%,78,Achievement,10,98%,93,830,98%,848,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,50%,87,919,47%,931,Achievement,10,3%,89,846,5%,890,Achievement,6,10,10,10,10,90,No reduction,08/11/1992,GAMBRO HEALTHCARE,03/03/2010
FMC TUSKEGEE,012546,,,,802 EAST MARTIN LUTHER KING HIGHWAY,,TUSKEGEE,AL,36083,8,10,0%,47,0%,46,Achievement,6,93%,55,547,92%,538,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,10,86%,53,570,83%,534,Achievement,10,2%,53,538,5%,525,Achievement,10,10,10,10,10,90,No reduction,05/18/1993,FRESENIUS MEDICAL CARE,09/23/2010
FMC EASTERN SHORE,012547,,,,124 PROFESSIONAL PARK DRIVE,,FAIRHOPE,AL,36532,8,10,0%,47,2%,51,Achievement,8,95%,69,517,94%,534,Achievement,9,93%,15,70,82%,88,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,5,62%,54,533,56%,546,Achievement,10,4%,56,486,8%,533,Achievement,8,10,10,10,10,90,No reduction,08/01/1993,FRESENIUS MEDICAL CARE,03/29/2013
FAYETTE DIALYSIS,012548,,,,2450 TEMPLE AVENUE NORTH,,FAYETTE,AL,35555,8,10,0%,20,0%,22,Achievement,10,97%,30,248,99%,265,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,74%,23,252,70%,274,Achievement,7,10%,28,249,5%,265,Achievement,8,10,10,10,9,94,No reduction,11/12/1993,GAMBRO HEALTHCARE,09/24/2012
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,012549,,,,1205 BELLEVILLE AVENUE,,BREWTON,AL,36426,8,10,0%,24,0%,21,Achievement,0,58%,34,238,91%,215,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,2,42%,27,251,33%,223,Improvement,1,56%,29,224,63%,211,Improvement,1,10,0,9,7,44,1.0%,03/17/1994,FRESENIUS MEDICAL CARE,10/30/2013
GREENE COUNTY DIALYSIS,012550,,,,544 HIGHWAY 43,,EUTAW,AL,35462,8,10,0%,35,3%,37,Achievement,10,98%,55,446,98%,456,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,40%,43,451,37%,443,Achievement,10,3%,47,427,8%,430,Achievement,5,10,10,10,10,88,No reduction,06/30/1994,GAMBRO HEALTHCARE,04/28/2010
SHEFFIELD DIALYSIS,012551,,,,1120 SOUTH JACKSON HIGHWAY SUITE 107,,SHEFFIELD,AL,35660,8,10,0%,45,0%,46,Achievement,8,95%,58,536,96%,513,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,8,69%,54,566,68%,535,Achievement,10,1%,55,536,0%,490,Achievement,9,10,10,10,10,93,No reduction,01/01/1995,GAMBRO HEALTHCARE,11/06/2009
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,012552,,,,65 NORTH CATHERINE STREET,,MOBILE,AL,36604,8,N/A,Insufficient data,0,Insufficient data,0,N/A,0,72%,22,58,Insufficient data,0,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,07/25/2013,FRESENIUS MEDICAL CARE,09/27/2013
PCD ELMORE COUNTY,012553,,,,125 HOSPITAL DRIVE,,WETUMPKA,AL,36092,8,10,0%,24,0%,25,Achievement,7,94%,31,270,98%,264,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,1,50%,28,292,49%,301,Achievement,9,6%,28,268,8%,282,Achievement,5,10,10,10,10,80,No reduction,01/30/1995,DAVITA,06/03/2011
"NNA OF ALABAMA, INC",012556,,,,7067 VETERANS PARKWAY SUITE 120,,PELL CITY,AL,35125,8,10,0%,11,Insufficient data,10,Achievement,4,84%,24,176,75%,167,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,4,1,47%,20,179,65%,155,Achievement,0,25%,21,159,9%,162,Achievement,0,10,10,9,10,59,0.5%,06/01/1995,FRESENIUS MEDICAL CARE,08/14/2013
PCD EAST MONTGOMERY,012557,,,,6890 WINTON BLOUNT BOULEVARD,,MONTGOMERY,AL,36117,8,10,0%,37,0%,34,Achievement,7,94%,61,415,94%,369,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,0,38%,45,450,40%,370,Achievement,7,10%,45,400,14%,324,Achievement,4,10,10,10,10,78,No reduction,06/01/1995,DAVITA,01/10/2013
