"State","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Healthcare worker COVID-19 vaccination adherence percentage (STATE)","Percentage Of Patients With Hgb<10 g/dL (STATE)","Percentage of patients with Hgb>12 g/dL (STATE)","SEDR - Better Than Expected (STATE)","SEDR - As Expected (STATE)","SEDR - Worse Than Expected (STATE)","ED30 - Better Than Expected (STATE)","ED30 - As Expected (STATE)","ED30 - Worse Than Expected (STATE)","N FOR SMSR CATEGORY 1: SMSR-Better than expected (State)","N FOR SMSR CATEGORY 2: SMSR-As Expected (State)","N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)"
GU,0,3,0,0,4,0,0,2,1,0,3,0,3,0,0,98,95,0,73,0,0,4,0,17,8,5,16,21,29,29,0,0,3,0,0,4,85,19,0,0,4,0,0,2,1,0,1,3
HI,8,28,0,5,32,0,5,29,0,0,28,0,17,19,0,98,97,100,100,98,0,38,1,11,1,7,25,28,24,16,0,20,6,0,34,4,81,11,0,0,33,1,0,32,2,1,26,6
IA,0,60,2,3,59,0,4,43,2,0,37,3,23,37,0,98,94,100,86,51,0,61,0,20,2,7,23,29,26,15,5,17,1,1,59,0,77,16,1,0,52,7,0,55,2,13,43,0
ID,0,27,1,1,27,0,1,23,0,1,23,0,11,15,0,99,96,,70,,0,27,0,20,1,7,23,27,25,17,2,13,0,1,27,0,65,14,1,0,24,4,0,24,2,9,14,0
IL,15,308,7,2,302,20,3,301,17,0,197,9,144,121,1,97,91,99,83,98,2,274,17,22,2,8,24,28,24,16,13,142,2,16,308,2,84,23,0,0,294,18,7,306,3,29,236,14
IN,6,148,2,0,156,2,3,150,3,0,104,8,74,72,1,96,94,96,85,94,3,148,5,20,1,7,24,28,24,17,2,65,4,1,149,5,70,24,0,0,143,11,0,146,5,25,119,2
KS,1,55,1,1,56,0,0,53,0,0,35,2,22,33,0,98,94,50,,100,6,50,0,13,2,7,21,26,26,19,1,22,0,0,51,5,76,19,1,0,54,3,1,53,2,10,44,0
KY,2,110,4,0,114,5,3,109,3,0,53,5,38,71,0,97,93,78,73,80,0,115,0,15,1,7,22,28,25,18,1,45,0,1,112,5,78,23,0,0,103,9,2,101,6,12,96,0
LA,0,165,4,3,165,3,1,158,9,0,95,6,62,95,0,98,94,94,84,83,3,161,3,15,1,8,23,28,24,17,6,61,0,3,164,3,75,22,0,0,140,19,0,149,13,8,142,4
MA,6,74,0,0,77,3,1,74,3,0,69,3,42,32,1,98,90,100,100,94,3,76,1,19,2,7,24,29,25,16,17,27,0,48,33,0,86,24,0,0,78,1,3,77,0,4,68,4
MD,1,153,9,6,158,0,4,151,3,0,134,8,85,56,2,97,89,96,71,97,0,154,4,19,2,8,23,29,24,16,3,88,3,8,145,3,78,24,0,0,155,7,4,157,0,6,137,7
ME,1,19,0,2,18,0,0,20,0,0,17,0,7,12,0,98,93,,0,100,0,20,0,19,2,6,23,30,24,17,3,3,0,2,18,0,82,20,0,0,16,4,0,19,1,3,16,1
MI,14,198,0,2,196,19,3,200,9,0,148,18,95,95,0,97,92,83,85,89,3,184,14,18,1,7,23,30,24,16,5,106,3,1,209,6,77,21,0,1,200,9,8,198,5,19,165,7
MN,3,109,0,0,109,3,4,98,1,0,57,1,34,72,0,98,94,100,100,100,1,108,0,20,1,8,23,27,25,17,4,31,0,7,100,1,75,20,0,0,93,12,1,95,5,10,82,4
MO,4,140,4,0,144,7,0,145,4,0,98,9,67,63,1,97,93,72,96,91,0,136,4,18,2,7,22,27,25,18,2,65,1,1,146,2,77,24,0,0,141,5,3,143,0,31,96,4
MP,0,2,0,1,1,0,0,1,1,0,2,0,0,2,0,89,94,92,,92,0,2,1,15,7,3,13,30,28,26,0,0,1,0,0,3,,72,0,1,1,0,0,3,0,0,1,1
MS,0,95,0,7,89,0,2,91,1,0,73,9,39,42,1,98,94,92,72,92,8,77,7,16,1,9,23,28,23,17,0,60,3,2,92,1,73,26,0,0,77,16,0,82,12,2,73,5
MT,0,17,0,1,16,0,0,14,0,0,14,0,5,11,1,97,90,100,0,100,0,17,0,20,2,6,21,25,26,21,0,9,0,0,16,1,74,13,1,0,15,2,0,15,2,5,9,1
NC,3,237,2,5,238,3,3,237,1,0,167,10,102,130,4,98,94,97,88,99,16,219,5,16,1,8,21,27,26,19,3,143,0,6,239,2,78,22,0,1,223,14,2,231,3,26,198,5
ND,0,14,0,0,13,1,0,14,0,0,13,0,3,8,2,95,89,89,80,83,1,12,1,19,2,9,25,27,26,14,1,6,0,0,14,0,92,34,1,0,12,2,0,14,0,1,12,1
NE,1,33,1,0,33,1,0,30,0,0,25,1,8,21,1,97,95,93,89,100,1,33,0,19,1,7,24,30,24,15,1,17,0,0,34,1,81,19,1,0,32,1,0,33,1,6,22,0
NH,0,18,0,0,18,0,0,18,0,0,13,1,6,11,0,98,93,,,100,0,18,0,23,2,6,23,29,25,18,1,7,0,5,13,0,83,19,0,0,18,0,0,18,0,3,14,1
NJ,6,177,2,1,173,11,3,177,5,0,150,8,94,83,0,98,95,96,87,83,19,157,7,14,2,9,26,31,22,12,19,83,1,21,163,0,86,16,1,4,174,5,6,172,1,9,146,23
NM,2,50,4,0,61,0,3,52,1,0,38,2,21,33,0,98,91,90,96,100,2,54,1,20,1,8,23,27,25,17,0,30,4,1,57,3,82,20,1,1,51,7,0,53,3,3,46,1
NV,0,52,0,0,47,5,0,48,3,0,48,0,39,8,0,97,91,97,70,95,0,50,2,19,2,7,22,28,25,18,1,35,9,1,45,6,84,19,1,0,48,4,5,46,1,7,37,6
NY,23,295,6,1,312,16,6,305,18,0,233,10,162,112,5,94,88,82,84,75,46,274,10,18,3,9,24,28,24,14,28,162,1,39,286,2,88,24,1,10,297,5,14,295,3,11,218,79
OH,9,292,4,1,283,20,4,293,3,0,90,6,99,171,1,97,93,93,79,96,1,282,9,22,2,7,23,28,25,17,10,104,2,2,292,12,73,22,1,0,259,12,3,263,12,41,225,6
OK,0,79,2,0,74,9,0,80,3,0,68,4,40,32,0,97,92,84,80,59,6,72,2,19,2,7,21,26,26,20,1,55,2,0,78,5,68,21,0,0,66,15,1,71,10,18,59,0
OR,0,65,1,0,66,0,2,62,1,0,48,2,34,27,0,98,92,100,77,78,2,62,0,16,1,6,22,28,26,18,0,42,0,0,63,4,74,14,1,0,55,8,0,56,5,7,50,0
PA,17,276,4,2,277,16,6,276,12,0,162,11,128,142,3,97,91,59,71,65,4,276,4,19,2,8,24,29,24,15,15,84,1,35,259,1,82,20,0,0,277,1,8,275,1,25,240,9
PR,0,35,11,2,44,2,1,33,13,0,4,2,39,7,0,99,97,100,100,100,0,26,22,32,1,9,26,33,23,9,0,34,6,0,45,4,96,11,1,0,33,0,1,38,0,1,27,18
RI,0,16,0,0,15,1,0,16,0,0,11,0,2,13,1,98,88,100,42,100,0,16,0,17,1,7,21,29,25,18,2,7,0,5,11,0,96,31,0,0,16,0,1,14,0,0,16,0
SC,0,142,7,4,139,6,2,138,6,0,97,10,63,73,1,97,93,95,86,97,1,123,18,12,1,8,23,26,26,17,6,75,0,7,141,1,79,24,0,0,130,15,0,139,5,12,118,4
SD,2,23,0,0,25,0,0,18,0,0,16,0,0,18,3,96,95,100,90,100,2,23,0,17,1,8,27,29,22,14,4,2,0,3,20,0,82,22,0,2,18,2,1,21,1,1,16,2
TN,0,183,5,0,183,7,2,173,9,0,109,10,77,90,0,97,94,27,64,2,2,180,3,20,1,7,21,27,26,20,11,88,2,8,178,4,76,22,0,0,174,8,2,177,1,17,143,7
TX,6,680,23,4,670,48,15,669,27,0,461,40,381,265,1,97,91,93,84,94,30,653,16,16,2,7,22,28,24,18,28,441,43,14,701,14,77,20,0,0,649,37,6,663,14,40,563,60
UT,0,48,1,1,49,0,3,40,0,0,30,1,17,21,3,96,90,100,88,99,3,45,1,16,2,8,22,26,26,19,1,19,1,0,51,0,70,22,1,0,42,4,0,44,0,3,38,1
VA,1,191,10,6,196,1,6,188,1,0,132,12,101,79,0,97,92,98,61,92,7,180,9,20,2,7,23,28,25,17,9,106,1,12,187,3,79,21,1,0,173,23,1,184,10,17,166,2
VI,0,4,0,1,3,0,0,3,0,0,4,0,0,0,0,95,,,,,0,3,1,23,27,12,26,26,25,11,0,1,0,0,4,0,94,48,0,0,4,0,0,4,0,0,3,1
VT,0,8,0,1,6,0,0,7,0,0,5,1,1,6,0,98,69,,,,0,7,0,24,2,5,20,28,30,18,0,1,0,0,7,0,96,22,0,0,4,3,0,5,3,1,6,0
WA,0,98,2,2,101,1,1,99,1,0,78,3,43,56,0,98,95,81,85,94,11,91,0,17,1,6,20,26,27,21,1,61,2,2,101,2,78,17,1,0,94,5,0,94,4,7,85,2
WI,2,118,1,1,119,2,3,111,2,0,77,4,45,67,2,98,91,98,75,97,0,116,1,22,1,8,24,29,24,15,2,50,2,1,116,3,75,18,1,0,99,19,0,103,14,12,100,3
WV,0,39,0,2,33,4,0,39,0,1,15,6,17,21,0,98,95,,87,,0,38,1,28,2,7,23,27,25,18,2,15,0,0,37,2,81,25,0,0,36,3,0,37,2,10,27,1
WY,0,11,0,0,11,0,0,11,0,0,6,1,1,10,0,96,91,,,,1,10,0,17,1,8,22,25,24,21,0,3,0,0,11,0,71,15,1,0,8,2,0,11,0,1,8,1
