"Provider Number","Network","Facility Name","Address Line 1","Address Line 2","City","STATE","Zip","County","Phone Number","Profit or Non-Profit?","Chain Owned?","Chain Organization","Late Shift?","# of Dialysis Stations","Offers In-Center Hemodialysis","Offers In-Cener Peritoneal Dialysis","Offers Home Hemodialysis Training","Certification Date","Claims Date","Mineral and Bone Disorder Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","Hgb <10 Data Availability Code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb >12 Data Availability Code","Number of dialysis patients with Hgb data","Lists the facility’s Standardized Transfusion Ratio (FACILITY)","Lists the upper confident limit (97.5%) for Standardized Transfusion Ratio (STRr)","Lists the lower confident limit (2.5%) for Standardized Transfusion Ratio (STRr)","Patient Transfusion data availability Code","Patient transfusion category text","Lists the number of patients included in the facility’s transfusion summary (FACILITY)","Percentage of HD patients with URR>=65%","URR Data Availability Code","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V Data Availability Code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V Data Availability Code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Lists the number of heomodialysis patients included in the URR greater than or equal 65 percent summary (FACILITY)","Number of Adult HD patients with Kt/V data","Number of Adult HD patient-months with Kt/V data","Number of Adult PD patients with Kt/V data","Number of Adult PD patient-months with Kt/V data","Number of Pediatric HD patients with Kt/V data","Number of Pediatric HD patient-months with Kt/V data","Percentage of patients with arteriovenous fistulae in place","Arteriovenous fistulae in place Data Availability Code","Percentage of patients with vascular catheter in use for 90 days or longer","Vascular catheter Data Availability Code","Number of Adult patients included in arterial venous fistula and catheter summaries","Number of Adult patient-months included in arterial venous fistula and catheter summaries","Hypercalcemia Data Availability Code","Lists the number of patients included in the facility’s hypercalcemia summary (FACILITY)","Lists the number of patient-months included in the facility’s hypercalcemia summary (FACILITY)","Lists the percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL) (FACILITY)","Lists the number of patients included in the facility’s serum phosphorus summary (FACILITY)","Lists the number of patient-months included in the facility’s serum phosphorus summary (FACILITY)","Serum phosphorus Data Availability Code","Lists the percentage of Adult patients with serum phosphorus less than 3.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL (FACILITY)","Lists the percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL (FACILITY)","SMR Date","SHR Date","SHR: Upper Confidence Limit (95%)","SMR: Upper Confidence Limit (95%)","SHR: Lower Confidence Limit (5%)","SMR: Lower Confidence Limit (5%)","Patient hospitalization category text","Patient hospitalization Data Availability Code","Patient survival category text","Patient survival Data Availability Code","Number of patients included in hospitalization summary","Number of patients included in survival summary","Standardized Hospitalization Ratio","Standardized Mortality Ratio"
"012515","08","FMC OPELIKA","2609 VILLAGE PROFESSIONAL DR","STE 2","OPELIKA","AL","36801","LEE","(334) 749-5085","Profit","Yes","FRESENIUS MEDICAL CARE","0","25","1","1","0","1982-09-07 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","5","001","0","001","75","1.36","2.36","0.83","001","As Expected","94","100","001","90","001","95","001","","254","66","92","767","23","220","0","0","81","001","4","001","100","805","001","106","790","14","115","828","001","8","23","29","27","13","01/01/2009-12/31/2012","01/01/2012-12/31/2012","0.79","1.07","0.17","0.6","Better than Expected","001","As Expected","001","98","535","0.35","0.81"
"012516","08","DSI SOUTH DIALYSIS","3201 3RD AVE SOUTH","","BIRMINGHAM","AL","35222","JEFFERSON","(205) 502-5300","Profit","Yes","NATIONAL RENAL INSTITUTES","0","20","1","1","1","1982-12-02 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","6","001","0","001","31","1.14","3.02","0.47","001","As Expected","48","100","001","97","001","","199","","254","31","40","345","3","14","0","0","34","001","10","001","41","362","001","52","416","8","56","437","001","12","30","25","20","14","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.94","1.65","0.59","0.8","As Expected","001","As Expected","001","52","260","1.05","1.17"
"012517","08","ATHENS DIALYSIS","15953 ATHENS LIMESTONE DRIVE","","ATHENS","AL","35613","LIMESTONE","(256) 233-4730","Profit","Yes","GAMBRO HEALTHCARE","0","12","1","0","1","1983-01-21 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","10","001","0","001","52","0.87","2.16","0.38","001","As Expected","82","96","001","89","001","","257","","254","52","91","584","0","0","0","0","68","001","6","001","99","694","001","69","530","3","75","563","001","12","23","38","16","11","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.32","1.2","0.43","0.71","As Expected","001","As Expected","001","97","420","0.74","0.93"
"012519","08","FMC SCOTTSBORO","20998 JOHN T. REID HWY","","SCOTTSBORO","AL","35768","JACKSON","(256) 259-4777","Profit","Yes","FRESENIUS MEDICAL CARE","0","21","1","0","0","1984-11-05 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","10","001","0","001","39","1.12","2.64","0.52","001","As Expected","55","100","001","92","001","","257","","254","49","66","533","0","0","0","0","84","001","5","001","70","579","001","53","418","6","57","445","001","6","20","31","30","13","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.56","1.31","0.48","0.64","As Expected","001","As Expected","001","66","232","0.85","0.93"
"012520","08","FMC TROY","606 BOTTS AVE","","TROY","AL","36081","PIKE","(334) 566-7266","Profit","Yes","FRESENIUS MEDICAL CARE","0","15","1","0","0","1984-11-19 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","2","001","2","001","59","1.03","2.11","0.54","001","As Expected","73","97","001","92","001","","257","","254","60","77","698","0","0","0","0","50","001","9","001","81","735","001","82","647","2","88","683","001","10","23","26","24","16","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.09","1.11","0.33","0.6","As Expected","001","As Expected","001","76","356","0.59","0.82"
"012521","08","DCI DOTHAN","1630 COLUMBIA HWY","","DOTHAN","AL","36303","HOUSTON","(334) 793-3519","Non-Profit","No","DIALYSIS CLINIC, INC.","0","33","1","1","0","1985-03-11 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","15","001","0","001","94","0.9","1.74","0.5","001","As Expected","108","99","001","95","001","76","001","","254","83","95","891","22","172","0","0","54","001","8","001","105","950","001","110","871","7","115","916","001","6","24","32","27","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.35","1.32","0.5","0.79","As Expected","001","As Expected","001","118","547","0.8","1.03"
"012522","08","FMC HUNTSVILLE","2325 PANSY STREET","SUITE C","HUNTSVILLE","AL","35801","MADISON","(256) 536-1881","Profit","Yes","FRESENIUS MEDICAL CARE","0","32","1","0","0","1985-08-20 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","8","001","2","001","52","0.71","1.97","0.29","001","As Expected","80","100","001","84","001","","257","","254","59","126","700","0","0","0","0","62","001","10","001","134","788","001","76","583","3","85","631","001","10","22","26","23","19","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.74","1.4","0.67","0.81","As Expected","001","As Expected","001","93","428","1.06","1.07"
"012523","08","PHENIX CITY DIALYSIS","1900 OPELIKA ROAD","","PHENIX CITY","AL","36867","RUSSELL","(334) 298-1941","Profit","Yes","DAVITA","0","20","1","1","0","1985-09-23 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","11","001","0","001","61","1.37","2.52","0.8","001","As Expected","86","100","001","94","001","90","001","","254","56","88","660","24","187","0","0","55","001","5","001","86","676","001","78","626","2","81","650","001","14","29","40","9","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.69","1.71","0.61","1.01","As Expected","001","Worse than Expected","001","95","391","0.99","1.33"
"012524","08","FMC EAST MOBILE","1217 GOVERNMENT ST","","MOBILE","AL","36604","MOBILE","(251) 438-6917","Profit","Yes","FRESENIUS MEDICAL CARE","1","29","1","1","1","1985-12-01 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","6","001","0","001","97","1.07","1.83","0.66","001","As Expected","179","97","001","85","001","94","001","","254","70","124","831","56","440","0","0","61","001","4","001","140","919","001","147","1165","3","160","1233","001","9","27","29","24","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.57","1.41","0.75","0.93","As Expected","001","As Expected","001","199","890","1.06","1.15"
"012525","08","FMC WEST MOBILE","6601 WALL STREET","SUITE A","MOBILE","AL","36695","MOBILE","(251) 633-2681","Profit","Yes","FRESENIUS MEDICAL CARE","0","20","1","0","0","1985-12-02 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","8","001","0","001","52","0.79","1.9","0.35","001","As Expected","76","100","001","86","001","","257","","254","63","93","734","0","0","0","0","66","001","1","001","98","784","001","76","584","4","78","596","001","11","31","28","21","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.34","0.98","0.47","0.57","As Expected","001","Better than Expected","001","87","409","0.78","0.75"
"012526","08","RCG PRINCETON","708 COTTON AVE SW","","BIRMINGHAM","AL","35211","JEFFERSON","(205) 785-3500","Profit","Yes","RENAL CARE GROUP INC.","0","34","1","1","1","1985-09-18 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","20","001","0","001","95","1.07","1.86","0.65","001","As Expected","171","92","001","79","001","78","001","","254","83","108","924","56","341","0","0","52","001","2","001","118","1020","001","115","903","6","122","921","001","11","31","29","19","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.47","1.41","0.68","0.99","As Expected","001","As Expected","001","188","1006","0.98","1.19"
"012527","08","DCI ENTERPRISE","3861 SALEM ROAD","","ENTERPRISE","AL","36330","COFFEE","(334) 347-8233","Non-Profit","No","DIALYSIS CLINIC, INC.","0","26","1","1","1","1986-07-04 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","3","001","0","001","66","0.57","1.52","0.24","001","As Expected","81","100","001","97","001","","201","","254","67","85","759","0","0","0","0","62","001","5","001","92","834","001","74","612","5","77","635","001","8","27","37","19","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.26","1.05","0.36","0.6","As Expected","001","As Expected","001","91","446","0.65","0.8"
"012528","08","FMC CAHABA VALLEY","120 CAHABA VALLEY PARKWAY","SUITE 150","PELHAM","AL","35124","SHELBY","(205) 988-0469","Profit","Yes","RENAL CARE GROUP INC.","0","24","1","0","0","1986-09-17 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","10","001","2","001","41","0.67","2.11","0.24","001","As Expected","49","100","001","84","001","","257","","254","44","72","512","0","0","0","0","64","001","4","001","77","541","001","44","360","12","47","369","001","5","24","25","24","22","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.5","1.34","0.41","0.78","As Expected","001","As Expected","001","53","371","0.76","1.04"
"012529","08","FLORENCE DIALYSIS","422 EAST DR. HICKS BLVD","","FLORENCE","AL","35630","LAUDERDALE","(256) 764-5050","Profit","Yes","GAMBRO HEALTHCARE","0","18","1","1","0","1986-09-16 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","13","001","0","001","92","1.6","2.57","1.04","001","Worse than Expected","114","100","001","96","001","89","001","","254","67","91","743","48","366","0","0","42","001","6","001","105","799","001","101","781","3","113","821","001","11","36","36","10","8","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.51","1.25","0.62","0.79","As Expected","001","As Expected","001","130","538","0.95","1"
"012530","08","RAI EAST 11TH ST ANNISTON","522 EAST 11TH STREET","1ST FLOOR","ANNISTON","AL","36207","CALHOUN","(256) 237-7566","Profit","Yes","INDEPENDENT","0","21","1","0","0","1987-01-07 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","18","001","0","001","55","1.22","2.42","0.65","001","As Expected","87","100","001","89","001","","257","","254","63","84","730","0","0","0","0","57","001","5","001","88","768","201","0","0","","0","0","001","","","","","","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.73","1.45","0.68","0.85","As Expected","001","As Expected","001","91","388","1.07","1.12"
"012531","08","FMC JACKSON (TOMBIGBEE)","215 WALKER SPRINGS RD","","JACKSON","AL","36545","CLARKE","(251) 246-6667","Profit","Yes","FRESENIUS MEDICAL CARE","0","24","1","1","1","1987-01-29 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","9","001","0","001","54","0.73","1.81","0.32","001","As Expected","63","100","001","94","001","","199","","254","57","82","647","10","70","0","0","54","001","3","001","87","668","001","67","508","2","67","531","001","11","24","26","26","13","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.11","1.32","0.31","0.7","As Expected","001","As Expected","001","69","326","0.57","0.97"
"012532","08","DCI EUFAULA","123 A EAST BARBOUR STREET","","EUFAULA","AL","36027","BARBOUR","(334) 687-7071","Non-Profit","No","DIALYSIS CLINIC, INC.","0","19","1","0","0","1987-11-25 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","3","001","0","001","38","1.22","3.04","0.54","001","As Expected","40","100","001","97","001","","257","","254","38","47","419","0","0","0","0","61","001","2","001","48","429","001","42","361","3","42","363","001","7","29","32","23","9","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.53","1.16","0.41","0.55","As Expected","001","As Expected","001","45","255","0.77","0.81"
"012533","08","WALKER COUNTY DIALYSIS","589 HIGHWAY 78 WEST","","JASPER","AL","35501","WALKER","(205) 221-1064","Profit","Yes","NATIONAL RENAL INSTITUTES","0","12","1","1","1","1987-12-29 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","4","001","0","001","24","0.5","3.11","0.1","001","As Expected","29","100","001","98","001","","199","","254","23","29","263","4","29","0","0","64","001","5","001","30","287","001","34","287","2","34","299","001","16","33","38","5","7","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.34","1.75","0.24","0.84","As Expected","001","As Expected","001","32","169","0.55","1.24"
"012534","08","BESSEMER KIDNEY CENTER","975 9TH AVE SW","SUITE 500","BESSEMER","AL","35022","JEFFERSON","(205) 424-3757","Profit","Yes","RENAL CARE GROUP INC.","0","36","1","0","0","1988-03-22 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","8","001","0","001","50","1","2.15","0.51","001","As Expected","87","100","001","76","001","","257","","254","54","70","616","0","0","0","0","45","001","8","001","75","652","001","90","725","13","97","741","001","17","26","26","22","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.69","1.29","0.65","0.81","As Expected","001","As Expected","001","89","543","1.03","1.03"
"012535","08","PCD PRATTVILLE","1815 GLYNWOOD DRIVE","","PRATTVILLE","AL","36066","AUTAUGA","(334) 361-0010","Profit","Yes","DAVITA","0","16","1","0","0","1990-01-26 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","15","001","0","001","40","0.96","2.55","0.4","001","As Expected","49","100","001","90","001","","257","","254","44","62","493","0","0","0","0","47","001","8","001","65","515","001","49","377","1","51","385","001","14","33","43","8","2","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.22","1.32","0.32","0.71","As Expected","001","As Expected","001","58","309","0.61","0.98"
"012536","08","FMC MONTCLAIR","3918 MONTCLAIR RD","SUITE 110","BIRMINGHAM","AL","35213","JEFFERSON","(205) 871-0999","Profit","Yes","RENAL CARE GROUP INC.","0","24","1","0","0","1990-09-12 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","10","001","2","001","58","0.56","1.54","0.22","001","As Expected","89","100","001","85","001","","257","","254","64","94","748","0","0","0","0","54","001","5","001","98","785","001","82","656","9","85","673","001","9","26","25","26","15","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.48","1.27","0.56","0.75","As Expected","001","As Expected","001","98","464","0.9","0.99"
"012537","08","FMC PRICHARD","4016 HWY 45","","WHISTLER","AL","36613","MOBILE","(251) 330-1623","Profit","Yes","FRESENIUS MEDICAL CARE","0","25","1","0","0","1990-04-23 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","18","001","4","001","51","1.26","2.55","0.67","001","As Expected","81","100","001","91","001","","257","","254","55","73","590","0","0","0","0","68","001","3","001","73","598","001","85","680","7","85","684","001","11","28","28","24","9","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.62","1.13","0.62","0.64","As Expected","001","As Expected","001","87","466","0.98","0.86"
"012538","08","RCG ANDALUSIA","403 WEST BYPASS","","ANDALUSIA","AL","36420","COVINGTON","(334) 427-0147","Profit","Yes","RENAL CARE GROUP INC.","0","10","1","0","0","1991-06-26 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","0","001","0","001","27","1.46","3.75","0.63","001","As Expected","42","96","001","83","001","","257","","254","25","49","311","0","0","0","0","73","001","4","001","55","344","001","34","219","2","37","250","001","7","22","29","32","10","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.9","1.85","0.48","0.98","As Expected","001","As Expected","001","47","203","0.93","1.36"
"012540","08","FMC MONROEVILLE (WHETSTONE)","676 S ALABAMA AVE","","MONROEVILLE","AL","36460","MONROE","(251) 575-3452","Profit","Yes","FRESENIUS MEDICAL CARE","0","20","1","1","0","1991-09-18 00:00:00","04/01/2012-03/31/2013","07/01/2012-03/31/2013","01/01/2012-12/31/2012","24","001","0","001","25","1.26","3.34","0.52","001","As Expected","32","100","001","96","001","","199","","254","29","34","299","3","10","0","0","72","001","0","001","37","310","255","25","199","","28","213","001","8","26","31","19","16","01/01/2009-12/31/2012","01/01/2012-12/31/2012","1.96","1.48","0.48","0.61","As Expected","001","As Expected","001","33","157","0.95","0.98"
