provnum	network	facname	phyaddr1	phyaddr2	phycity	phystate	phyzip	phonenum	shift	chainyn	chainnam	owntype	certdate	totstas	HD	PD	homehd	PURR_F	urrg65_f	URRG65_C	urrg65_u	urrg65_s	hctrd_f	hctg33_f	HCTG33_C	hctg33_u	hctg33_s	DATEURHT	PTSURV_F	PTSURV_C	ptsurvu1	ptsurvu2	ptsurvu3	ptsurvs1	ptsurvs2	ptsurvs3	DATESMR	CNTYNAME
012530	08	RCG EAST ALABAMA #1	901 LEIGHTON AVE.	STE 102	ANNISTON	AL	36207	2562375303	N	Y	RENAL CARE GROUP INC.	1	07JAN1987	25	Y	Y	N	75	95	001	92	92	77	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CALHOUN
012531	08	FMC  JACKSON (TOMBIGBEE)	215 WALKER SPRINGS RD		JACKSON	AL	36545	2512466667	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	29JAN1987	24	Y	N	N	53	96	001	92	92	54	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CLARKE
012532	08	DCI EUFAULA	123 A EAST BARBOUR STREET		EUFAULA	AL	36027	3346877071	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	25NOV1987	19	Y	N	N	53	96	001	92	92	57	96	001	92	91	2005	1	001	100	4013	174	3	99	4	2002-2005	BARBOUR
012533	08	DSI WALKER COUNTY	589 HIGHWAY 78 WEST		JASPER	AL	35501	2052211064	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	29DEC1987	12	Y	Y	Y	27	100	001	92	92	29	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	WALKER
012534	08	BESSEMER KIDNEY CENTER	950 MEDICAL CENTER DRIVE		BESSEMER	AL	35022	2054243757	N	Y	RENAL CARE GROUP INC.	1	22MAR1988	36	Y	N	N	76	97	001	92	92	81	89	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012535	08	PCD PRATTVILLE	1815 GLYNWOOD DRIVE		PRATTVILLE	AL	36066	3343610010	N	Y	DAVITA	1	26JAN1990	10	Y	N	N	41	100	001	92	92	42	100	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	AUTAUGA
012536	08	FMC MONTCLAIR	3918 MONTCLAIR RD STE 110		BIRMINGHAM	AL	35213	2058710999	N	Y	RENAL CARE GROUP INC.	1	12SEP1990	24	Y	N	N	51	94	001	92	92	51	88	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012537	08	FMC PRICHARD	1079 S. BESSEMER AVE.		PRICHARD	AL	36610	2514529941	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	23APR1990	24	Y	N	N	61	95	001	92	92	65	86	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012538	08	RCG ANDALUSIA	403 WEST BYPASS		ANDALUSIA	AL	36420	3342220416	N	Y	RENAL CARE GROUP INC.	1	26JUN1991	10	Y	Y	N	30	97	001	92	92	32	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	COVINGTON
012539	08	RCG TALLADEGA	805 NORTH STREET EAST		TALLADEGA	AL	35160	2563151662	N	Y	RENAL CARE GROUP INC.	1	26JUL1991	17	Y	N	N	46	91	001	92	92	50	88	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	TALLADEGA
012540	08	FMC MONROEVILLE (WHETSTONE)	676 S ALABAMA AVE		MONROEVILLE	AL	36460	2515753452	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	18SEP1991	11	Y	N	N	19	95	001	92	92	22	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MONROE
012541	08	FMC DADEVILLE	52 WATERWORKS RD		DADEVILLE	AL	36853	2568252740	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	11MAR1992	15	Y	N	N	29	97	001	92	92	30	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	TALLAPOOSA
012542	08	RAINBOW CITY DIALYSIS	2800 RAINBOW DRIVE		RAINBOW CITY	AL	35906	2564133245	Y	Y	GAMBRO HEALTHCARE	1	05MAY1992	16	Y	Y	N	41	80	001	92	92	58	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	ETOWAH
012543	08	DEMOPOLIS DIALYSIS	511 S CEDAR STREET		DEMOPOLIS	AL	36732	3342899700	N	Y	GAMBRO HEALTHCARE	1	20MAY1992	12	Y	Y	N	34	85	001	92	92	43	86	001	92	91	2005	3	001	100	4013	174	3	99	4	2002-2005	MARENGO
012544	08	OZARK DIALYSIS	214 HOSPITAL AVENUE		OZARK	AL	36360	3347742630	N	Y	GAMBRO HEALTHCARE	1	04AUG1992	13	Y	N	N	35	91	001	92	92	37	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	DALE
012545	08	TUSCALOOSA DIALYSIS	805 OLD MILL STREET		TUSCALOOSA	AL	35401	2057526363	N	Y	GAMBRO HEALTHCARE	1	11AUG1992	19	N	Y	Y	94	89	001	92	92	108	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	TUSCALOOSA
012546	08	FMC TUSKEGEE	802 E. MARTIN LUTHER KING HWY		TUSKEGEE	AL	36083	3347279447	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	18MAY1993	15	Y	N	N	41	100	001	92	92	47	87	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MACON
012547	08	FMC EASTERN SHORE	124 PROFESSIONAL PARK DR		FAIRHOPE	AL	36532	2519287835	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	01AUG1993	24	Y	N	N	55	98	001	92	92	56	98	001	92	91	2005	1	001	100	4013	174	3	99	4	2002-2005	BALDWIN
012548	08	FAYETTE DIALYSIS	1714 TEMPLE AVENUE NORTH		FAYETTE	AL	35555	2059328500	N	Y	GAMBRO HEALTHCARE	1	12NOV1993	10	Y	N	N	34	88	001	92	92	35	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	FAYETTE
012549	08	DIALYSIS AFFILIATES OF SOUTH ALABAMA	1205 BELLEVILLE AVE.		BREWTON	AL	36426	2518673650	N	N	INDEPENDENT	1	17MAR1994	10	Y	N	N	26	73	001	92	92	25	36	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	ESCAMBIA
012550	08	GREENE COUNTY DIALYSIS	P O BOX 657		EUTAW	AL	35462	2053724000	N	Y	GAMBRO HEALTHCARE	1	30JUN1994	10	Y	N	N	35	97	001	92	92	36	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	GREENE
012551	08	SHEFFIELD DIALYSIS	1120 S JACKSON HWY STE 107		SHEFFIELD	AL	35660	2563818004	N	Y	GAMBRO HEALTHCARE	1	01JAN1995	12	Y	Y	N	50	90	001	92	92	78	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	COLBERT
012552	08	FMC TOULMINVILLE	2056 DR. MARTIN LUTHER KING JR. AVE.		MOBILE	AL	36617	2514764143	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	10JAN1995	19	Y	N	N	65	98	001	92	92	66	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012553	08	PCD ELMORE COUNTY	515 HOSPITAL DRIVE		WETUMPKA	AL	36092	3345141578	N	Y	DAVITA	1	30JAN1995	10	Y	N	N	34	94	001	92	92	39	97	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	ELMORE
012554	08	DCI UNION SPRINGS	109 CONECUH AVENUE, WEST		UNION SPRINGS	AL	36089	3347385715	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	13MAR1995	12	Y	N	N	39	87	001	92	92	41	83	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	BULLOCK
012556	08	FMC  PELL CITY	2804 DR. JOHN HAYNES DRIVE		PELL CITY	AL	35125	2058847414	N	Y	RENAL CARE GROUP INC.	1	01JUN1995	10	Y	N	N	16	100	001	92	92	17	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	SAINT CLAIR
012557	08	PCD EAST MONTGOMERY	6890 WINTON BLOUNT BLVD		MONTGOMERY	AL	36117	3342600671	N	Y	DAVITA	1	01JUN1995	13	Y	N	N	25	96	001	92	92	23	96	001	92	91	2005	3	001	100	4013	174	3	99	4	2002-2005	MONTGOMERY
012558	08	DCI DECATUR	1601 6TH AVENUE SOUTH EAST		DECATUR	AL	35601	2563508882	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	24MAY1995	24	Y	N	N	73	84	001	92	92	87	89	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MORGAN
012559	08	FMC UNIVERSITY SOUTH ALABAMA	1925 HEALTH SERVICES DRIVE		MOBILE	AL	36688	2514606797	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	14JAN1995	20	Y	Y	Y	63	94	001	92	92	71	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012560	08	FMC HAMILTON	1256 MILITARY STREET SOUTH		HAMILTON	AL	35570	2059216231	N	Y	RENAL CARE GROUP INC.	1	11DEC1995	7	Y	N	N	13	100	001	92	92	14	93	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MARION
012561	08	FMC  LAKEVIEW	45 MEDICAL PARK DR., STE A		GUNTERSVILLE	AL	35976	2567530112	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07DEC1995	17	Y	N	N	41	95	001	92	92	45	93	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MARSHALL
012562	08	DCI PELL CITY	2805 DR JOHN HAYNES DR		PELL CITY	AL	35125	2058844240	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	13DEC1995	10	Y	N	N	15	93	001	92	92	15	93	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	SAINT CLAIR
012563	08	DCI CULLMAN	1734 EVA ROAD NE		CULLMAN	AL	35055	2567343055	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	04JAN1996	16	Y	N	N	46	80	001	92	92	54	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CULLMAN
012565	08	SOUTH BALDWIN DIALYSIS CENTER	150 W PEACHTREE AVE		FOLEY	AL	36535	2519434155	N	Y	DAVITA	1	02APR1996	13	Y	N	N	32	94	001	92	92	34	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	BALDWIN
012566	08	FMC SYLACAUGA	314 WEST SPRING STREET		SYLACAUGA	AL	35150	2562499660	N	Y	RENAL CARE GROUP INC.	1	16JUL1996	12	Y	N	N	16	94	001	92	92	18	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	TALLADEGA
012567	08	RCG ANNISTON #2	901 KEITH AVENUE		ANNISTON	AL	36207	2562352213	N	Y	RENAL CARE GROUP INC.	1	31JUL1996	17	Y	N	N	47	96	001	92	92	48	85	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CALHOUN
012568	08	FMC PARKWAY	1311 N MEMORIAL PKWY STE 100		HUNTSVILLE	AL	35801	2565365563	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	03SEP1996	15	Y	N	N	41	98	001	92	92	41	88	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MADISON
012570	08	NORTHPORT DIALYSIS	2401 HOSPITAL DRIVE		NORTHPORT	AL	35476	2053398882	N	Y	GAMBRO HEALTHCARE	1	03DEC1996	10	Y	N	N	43	77	001	92	92	45	96	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	TUSCALOOSA
012571	08	DCI GEORGIANA	P O BOX 618		GEORGIANA	AL	36033	3343760277	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	31DEC1996	10	Y	N	N	29	100	001	92	92	33	85	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	BUTLER
012572	08	FMC CAMELLIA	108 L. V. STABLER DRIVE		GREENVILLE	AL	36037	3343825052	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	12FEB1997	8	Y	N	N	25	84	001	92	92	28	93	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	BUTLER
012573	08	DCI BIRMINGHAM	8713 PARKWAY EAST		BIRMINGHAM	AL	35206	2058385400	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	18DEC1997	16	Y	Y	N	48	90	001	92	92	48	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012574	08	FMC CHAMBERS	802 HOSPITAL STREET		LAFAYETTE	AL	36862	3348649914	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	10JUN1997	10	Y	N	N	16	94	001	92	92	18	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CHAMBERS
012575	08	FMC WALKER	3510 3RD STREET NORTH		JASPER	AL	35501	2052218775	N	Y	RENAL CARE GROUP INC.	1	08JAN1998	16	Y	N	N	40	93	001	92	92	43	88	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	WALKER
012576	08	DCI MONTGOMERY	544 SOUTH MCDONOUGH STREET		MONTGOMERY	AL	36104	3342659190	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	05JUN1998	24	Y	Y	N	76	86	001	92	92	85	86	001	92	91	2005	1	001	100	4013	174	3	99	4	2002-2005	MONTGOMERY
012578	08	FMC SOUTHSIDE	2131 MAGNOLIA AVENUE SOUTH	STE 100	BIRMINGHAM	AL	35205	2053224382	N	Y	RENAL CARE GROUP INC.	1	18JUN1998	12	Y	N	N	31	100	001	92	92	35	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012579	08	FMC DAUPHIN ISLAND PKWY	2381 DAUPHIN ISLAND PARKWAY		MOBILE	AL	36605	2514712505	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	08JUL1998	20	Y	N	N	65	92	001	92	92	67	94	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012580	08	FMC THOMASVILLE	30230 HWY 43		THOMASVILLE	AL	36784	3346361411	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	15SEP1998	20	Y	N	N	35	89	001	92	92	37	89	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CLARKE
012582	08	FMC WILCOX	229 CAMDEN BYPASS		CAMDEN	AL	36726	3346825030	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	04NOV1998	10	Y	N	N	21	95	001	92	92	24	88	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	WILCOX
012583	08	BESSEMER DIALYSIS	901 WESTLAKE MALL	STE 101	BESSEMER	AL	35020	2054241848	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	16	Y	N	N	44	100	001	92	92	44	89	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012585	08	ENSLEY DIALYSIS	2630 AVENUE E		BIRMINGHAM	AL	35218	2057861371	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	24	Y	N	N	85	94	001	92	92	89	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012587	08	NRI CHILTON PEACH	107 MEDICAL CENTER DRIVE		CLANTON	AL	35045	2052801478	N	Y	NATIONAL RENAL INSTITUTES (NRI)	1	11FEB1999	8	Y	N	N	13	100	001	92	92	12	100	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	CHILTON
012588	08	SYLACAUGA DIALYSIS	1385 WEST FT. WILLIAMS STREET		SYLACAUGA	AL	35150	2562494994	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	13	Y	Y	N	25	80	001	92	92	26	96	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	TALLADEGA
012589	08	BIRMINGHAM NORTH DIALYSIS	1917 32ND AVENUE NORTH		BIRMINGHAM	AL	35207	2052979052	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	24	Y	N	N	65	89	001	92	92	68	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012590	08	DCI MOULTON	1962 MAIN STREET		MOULTON	AL	35650	2569741400	N	Y	DIALYSIS CLINIC, INC. (DCI)	2	16MAR1999	10	Y	N	N	17	88	001	92	92	19	89	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	LAWRENCE
012591	08	FMC SHELBY	1022 FIRST STREET NORTH	SUITE 101	ALABASTER	AL	35007	2056206867	N	Y	RENAL CARE GROUP INC.	1	08APR1999	12	Y	N	N	36	100	001	92	92	35	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	SHELBY
012592	08	BIRMINGHAM CENTRAL DIALYSIS	728 RICHARD ARRINGTON BLVD S		BIRMINGHAM	AL	35233	2052506760	N	Y	GAMBRO HEALTHCARE	1	01AUG1998	32	Y	N	N	90	97	001	92	92	93	84	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012593	08	FMC ODYSSEY DIALYSIS	40 HUGHES ROAD		MADISON	AL	35758	2567724435	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	05MAY1999	15	Y	N	N	42	98	001	92	92	46	98	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MADISON
012594	08	BOAZ DIALYSIS	16 CENTRAL HENDERSON ROAD		BOAZ	AL	35957	2568405931	N	Y	GAMBRO HEALTHCARE	1	30JUN1999	10	Y	N	N	23	96	001	92	92	26	96	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MARSHALL
012595	08	FMC FORT PAYNE	423 MEDICAL CENTER DRIVE, S.W.		FORT PAYNE	AL	35968	2568459979	N	Y	RENAL CARE GROUP INC.	1	01MAY1999	8	Y	N	N	25	96	001	92	92	29	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	DE KALB
012596	08	FMC MONTGOMERY BAPTIST	1400 NARROW LANE PKWY		MONTGOMERY	AL	36111	3342864011	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	11AUG1999	25	Y	N	N	75	81	001	92	92	84	95	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MONTGOMERY
012597	08	FMC BAY MINETTE	2505 HAND AVENUE		BAY MINETTE	AL	36507	2515804448	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	27OCT1999	10	Y	N	N	32	97	001	92	92	31	84	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	BALDWIN
012598	08	DCI PHENIX CITY	1611 21ST COURT		PHENIX CITY	AL	36867	3344484840	N	Y	DIALYSIS CLINIC, INC. (DCI)	1	09FEB2000	12	Y	N	N	36	86	001	92	92	34	91	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	RUSSELL
012599	08	FMC  PORT CITY	201 ST. JOSEPH STREET, SUITE B		MOBILE	AL	36602	2516521025	N	Y	FRESENIUS MEDICAL CARE (FMC)	1	07FEB2001	20	Y	N	N	58	95	001	92	92	60	92	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	MOBILE
012600	08	ATMORE DIALYSIS CENTER	807 EAST CRAIG STREET		ATMORE	AL	36502	2513685593	N	Y	DAVITA	1	14MAR2001	10	Y	N	N	25	80	001	92	92	27	100	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	ESCAMBIA
012601	08	FMC WEST	633 LOMB AVENUE		BIRMINGHAM	AL	35211	2057812366	N	Y	RENAL CARE GROUP INC.	1	27MAR2001	24	Y	N	N	66	98	001	92	92	60	90	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
012602	08	RUSSELLVILLE DIALYSIS	14897 HWY 43		RUSSELLVILLE	AL	35653	2563327044	N	Y	GAMBRO HEALTHCARE	1	20JUN2001	10	Y	N	N	15	93	001	92	92	18	83	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	FRANKLIN
012603	08	FMC FAIRFIELD	6508 E. J. OLIVER BLVD		FAIRFIELD	AL	35064	2057805122	N	Y	RENAL CARE GROUP INC.	1	16OCT2001	12	Y	N	N	42	100	001	92	92	42	93	001	92	91	2005	2	001	100	4013	174	3	99	4	2002-2005	JEFFERSON
