"State","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Percentage Of Patients With Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL"
GU,1,4,0,5,0,0,97,95,100,100,100,0,5,0,13,4,5,17,25,26,26,0,5,0,0,5,0,0,5,0,0,0,5,0,1,4,15,0
HI,1,29,0,13,18,1,98,96,77,93,50,0,34,2,10,1,8,25,29,24,15,4,31,0,2,31,0,6,28,0,0,22,2,1,35,0,11,0
IA,0,43,3,7,49,1,98,95,100,75,100,0,61,1,17,1,7,23,31,23,16,0,62,0,0,55,0,1,59,2,1,19,1,0,58,1,16,0
ID,0,26,0,4,19,0,98,96,100,100,100,0,28,1,17,1,7,24,29,22,17,1,27,0,0,25,1,0,25,2,0,9,0,0,30,0,22,0
IL,0,248,18,112,160,2,96,91,80,81,87,6,269,19,20,2,8,24,30,23,16,0,309,19,5,295,15,22,288,11,7,138,1,10,315,4,23,0
IN,0,130,5,49,102,1,97,96,80,93,64,0,158,4,18,1,7,24,29,24,17,1,158,2,4,154,1,5,152,0,2,63,4,1,153,6,22,0
KS,0,45,2,7,46,0,98,95,,,,7,50,0,11,2,7,22,31,22,18,1,56,1,2,54,0,3,53,1,0,23,0,0,52,5,18,1
KY,0,84,9,27,83,1,97,93,83,15,76,1,115,1,14,1,6,22,30,24,18,0,116,2,1,112,2,1,114,3,1,48,0,2,110,5,23,0
LA,0,123,23,48,110,0,97,94,92,77,93,4,167,3,14,1,7,23,29,24,17,2,171,2,6,159,6,3,161,8,4,64,0,2,173,3,23,0
MA,0,73,1,29,46,1,97,88,100,97,91,4,74,1,17,2,7,25,30,23,15,2,74,5,0,75,3,6,73,1,12,24,0,51,31,0,22,0
MD,0,139,8,54,89,1,96,86,100,47,100,2,154,6,18,4,8,24,31,21,16,2,160,3,5,150,2,8,142,10,4,78,2,8,149,1,24,0
ME,0,18,0,5,13,1,98,94,,0,,0,20,0,17,2,6,23,30,25,16,0,20,0,0,20,0,0,20,0,1,7,0,1,19,0,15,1
MI,0,169,10,65,124,0,96,93,84,83,95,3,183,15,17,1,7,23,32,23,15,2,197,13,5,195,7,12,197,1,4,97,5,2,210,3,21,0
MN,0,78,3,15,87,0,94,88,100,100,89,2,107,3,18,6,7,24,30,23,16,1,102,1,1,93,2,5,95,1,4,21,1,7,101,1,19,0
MO,0,120,11,36,95,4,96,93,73,94,87,0,135,9,17,2,7,23,29,24,18,0,144,7,0,145,2,5,140,3,0,67,1,1,146,4,22,1
MP,1,1,0,0,1,0,91,85,92,,100,0,1,2,18,7,4,14,28,32,23,1,1,0,0,2,0,0,2,0,0,0,1,0,0,3,77,0
MS,0,71,17,20,58,2,97,94,100,57,100,5,83,2,14,1,9,23,28,23,17,5,87,3,2,87,4,0,87,5,0,56,2,3,91,2,29,0
MT,1,10,2,8,9,0,96,91,100,100,100,0,17,0,19,2,6,20,26,26,21,2,15,0,1,12,0,0,17,0,0,8,0,0,16,1,16,1
NC,0,202,16,68,163,3,97,94,98,81,98,14,223,3,14,1,7,22,28,24,18,2,238,1,5,232,2,3,233,3,4,126,3,0,245,0,22,0
ND,0,12,2,0,10,2,94,87,,,,1,12,1,18,2,10,26,28,24,12,1,12,1,0,13,0,0,14,1,2,5,0,0,14,0,38,0
NE,0,28,1,5,23,0,97,95,80,97,82,1,34,0,16,2,8,24,32,22,15,0,36,0,2,31,1,2,34,0,2,15,0,0,30,4,17,0
NH,0,14,2,6,12,0,97,90,100,,100,1,17,0,22,2,6,23,29,26,17,0,18,0,1,17,0,0,17,1,1,4,0,5,13,0,18,0
NJ,2,163,1,59,121,2,98,95,100,95,100,21,163,5,14,2,9,27,33,20,12,0,182,8,1,180,6,10,173,2,17,76,0,26,165,1,15,0
NM,1,48,2,19,32,0,98,91,96,77,100,8,45,0,16,1,8,24,29,23,17,2,53,0,1,50,1,1,52,2,1,30,5,3,53,1,18,0
NV,0,47,2,27,21,0,97,91,94,94,100,5,46,1,16,2,7,22,30,23,18,0,52,0,1,49,1,1,48,1,1,30,9,1,48,5,19,0
NY,0,252,17,114,154,8,94,89,84,83,82,49,264,19,17,3,9,25,30,23,13,1,299,18,2,300,8,24,275,12,45,140,3,56,266,2,23,1
OH,0,167,14,65,208,5,96,94,92,79,99,2,287,12,20,2,7,23,30,24,17,0,298,20,2,299,7,11,295,10,6,98,1,1,302,12,20,0
OK,0,67,10,20,59,0,98,94,96,69,97,8,76,0,18,1,6,21,28,24,21,1,82,3,2,78,3,1,79,4,0,57,2,0,77,9,21,0
OR,0,54,1,26,37,0,97,93,100,85,100,2,64,0,15,1,6,22,30,24,17,1,69,0,0,65,1,4,61,1,1,34,1,0,68,2,18,0
PA,0,199,13,95,169,5,96,91,80,59,77,5,283,3,17,2,8,25,31,22,14,1,278,16,4,279,7,14,272,5,9,85,0,34,266,1,18,0
PR,0,25,3,34,12,0,99,96,100,51,100,2,25,20,28,1,8,26,32,23,10,1,43,3,0,32,15,0,38,9,0,26,11,0,41,7,12,1
RI,0,13,1,4,11,0,99,94,100,100,100,1,15,0,15,1,6,22,29,25,18,0,16,0,0,15,1,1,15,0,4,2,0,5,11,0,21,0
SC,0,120,11,49,87,1,96,94,95,80,92,5,125,18,12,2,8,23,28,25,17,0,150,5,4,146,2,1,144,5,5,83,3,3,153,0,24,0
SD,0,19,0,2,14,3,96,95,95,50,95,1,24,0,16,2,9,26,30,22,13,1,25,0,1,17,0,4,21,1,2,4,0,0,24,0,23,0
TN,0,143,15,62,104,2,96,93,50,54,16,1,182,4,19,1,7,21,27,26,19,1,183,5,3,178,3,1,172,13,9,89,2,6,183,2,21,0
TX,0,543,41,231,399,4,97,91,92,84,93,23,657,21,15,2,7,23,29,23,18,5,667,36,13,666,14,7,659,22,26,420,15,8,721,6,18,0
UT,0,30,2,4,22,0,95,88,100,92,99,4,43,0,13,2,8,22,28,25,18,0,47,0,2,38,0,0,46,1,1,21,0,0,47,2,23,1
VA,0,164,9,64,114,0,97,91,86,44,90,11,178,8,17,1,7,23,31,23,16,1,194,4,9,182,3,4,185,7,8,95,2,8,194,3,19,0
VI,0,4,0,0,2,0,85,,,,,0,2,2,30,36,11,26,28,25,9,1,3,0,0,3,0,0,4,0,0,0,0,0,4,0,44,2
VT,0,5,1,1,6,0,97,71,,,67,0,7,0,23,3,6,23,28,28,15,0,7,0,0,8,0,0,7,1,0,1,0,0,8,0,22,1
WA,1,86,3,24,71,2,96,93,98,88,99,7,94,0,16,2,6,21,28,25,20,2,99,0,3,93,1,1,93,3,1,60,1,2,98,2,16,0
WI,0,94,6,26,80,4,96,91,92,63,95,1,110,8,19,2,7,24,31,22,15,2,112,1,1,111,1,1,114,1,3,47,1,2,117,3,18,0
WV,0,26,7,18,21,0,97,95,100,100,100,0,39,1,25,1,7,23,28,24,18,0,36,4,2,37,2,0,40,0,2,14,1,0,38,2,26,0
WY,0,9,0,1,9,0,96,95,,,,0,10,0,14,2,8,23,27,24,18,0,10,0,1,6,0,0,10,0,0,2,0,0,10,0,13,0
