"State","Survival- Better Than Expected (STATE)","Survival- As Expected (STATE)","Survival- Worse Than Expected (STATE)","Hospitalizations- Better Than Expected (STATE)","Hospitalizations- As Expected (STATE)","Hospitalizations- Worse Than Expected (STATE)","Hospital Readmission - Better Than Expected (STATE)","Hospital Readmission - As Expected (STATE)","Hospital  Readmission - Worse Than Expected (STATE)","Transfusions- Better than expected (STATE)","Transfusions- As expected (STATE)","Transfusions- Worse than expected (STATE)","Infection- Better than expected (STATE)","Infection- As expected (STATE)","Infection- Worse than expected (STATE)","Percentage of adult HD patients with Kt/V>=1.2","Percentage Of Adult PD Patients With Kt/V>=1.7","Percentage Of Pediatric HD Patients With Kt/V>=1.2","Percentage Of Pediatric PD Patients With Kt/V>=1.8","Percentage Of Pediatric HD Patients With nPCR In Use","Fistula Rate - Better Than Expected (STATE)","Fistula Rate - As Expected (STATE)","Fistula Rate - Worse Than Expected (STATE)","Percentage Of Adult Patients With Long Term Catheter In Use","Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL)","Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL","Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL","Incident Patients Transplant Waitlisting- Better Than Expected (STATE)","Incident Patients Transplant Waitlisting - As Expected (STATE)","Incident Patients Transplant Waitlisting - Worse Than Expected (STATE)","Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE)","Prevalent Patients Transplant Waitlisting - As Expected (STATE)","Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE)","Healthcare worker COVID-19 vaccination adherence percentage (STATE)","Percentage Of Patients With Hgb<10 g/dL (STATE)","Percentage of patients with Hgb>12 g/dL (STATE)","SEDR - Better Than Expected (STATE)","SEDR - As Expected (STATE)","SEDR - Worse Than Expected (STATE)","ED30 - Better Than Expected (STATE)","ED30 - As Expected (STATE)","ED30 - Worse Than Expected (STATE)","N FOR SMSR CATEGORY 1: SMSR-Better than expected (State)","N FOR SMSR CATEGORY 2: SMSR-As Expected (State)","N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)"
GU,0,3,0,0,4,0,0,2,1,0,3,0,3,0,0,98,96,0,80,0,0,6,0,17,8,5,16,21,30,28,0,0,3,0,1,5,0,17,0,0,4,0,0,2,1,0,1,3
HI,8,28,0,5,32,0,5,29,0,0,28,0,17,19,0,98,97,100,95,96,0,40,1,11,1,7,24,28,24,16,0,20,6,2,34,4,0,11,0,0,33,1,0,32,2,1,26,6
IA,0,60,2,3,59,0,4,43,2,0,37,3,23,37,0,98,93,87,88,41,0,61,0,20,2,7,23,29,26,15,5,17,1,0,60,0,3,16,1,0,52,7,0,55,2,13,43,0
ID,0,26,1,1,26,0,1,22,0,1,22,0,11,14,0,99,96,,74,,0,26,0,20,1,7,23,27,25,18,2,13,0,1,26,0,1,15,1,0,23,4,0,23,2,9,13,0
IL,15,308,7,2,302,20,3,301,17,0,197,9,144,121,1,97,92,99,83,98,3,272,19,22,2,8,23,28,24,16,13,142,2,14,309,5,3,23,0,0,294,18,7,306,3,29,236,14
IN,6,148,2,0,156,2,3,150,3,0,104,8,74,72,1,96,94,96,83,95,2,146,8,20,1,7,23,28,25,17,2,65,4,2,147,6,5,24,0,0,143,11,0,146,5,25,119,2
KS,1,55,1,1,56,0,0,53,0,0,35,2,22,33,0,98,95,50,,100,2,54,0,13,1,7,21,26,26,19,1,22,0,0,53,2,2,19,1,0,54,3,1,53,2,10,44,0
KY,2,109,4,0,113,5,3,108,3,0,53,5,38,70,0,97,94,87,100,88,0,115,0,16,1,7,22,28,25,19,1,45,0,1,114,4,3,23,0,0,102,9,2,100,6,12,96,0
LA,0,165,4,3,165,3,1,158,9,0,95,6,62,95,0,98,94,86,82,97,4,158,6,16,1,8,23,28,24,17,6,61,0,3,164,3,1,22,0,0,140,19,0,149,13,8,142,4
MA,6,73,0,0,76,3,1,73,3,0,68,3,41,32,1,98,90,100,100,99,2,75,0,19,2,7,24,29,25,16,17,26,0,49,30,0,10,24,0,0,77,1,3,76,0,4,67,4
MD,1,153,9,6,158,0,4,151,3,0,134,8,85,56,2,97,90,97,72,98,0,154,5,19,2,8,23,29,24,16,3,88,3,8,146,2,5,24,0,0,155,7,4,157,0,6,137,7
ME,1,19,0,2,18,0,0,20,0,0,17,0,7,12,0,98,93,100,0,100,0,20,0,19,2,6,23,31,24,17,3,3,0,2,18,0,3,22,0,0,16,4,0,19,1,3,16,1
MI,14,197,0,2,195,19,3,199,9,0,148,18,95,94,0,97,93,86,86,92,3,182,15,19,1,6,23,30,24,16,5,106,3,2,207,6,3,21,0,1,199,9,8,197,5,19,164,7
MN,3,109,0,0,109,3,4,98,1,0,57,1,34,72,0,98,94,100,100,100,2,107,0,20,1,7,22,27,25,18,4,31,0,8,98,0,5,19,1,0,93,12,1,95,5,10,82,4
MO,4,140,4,0,144,7,0,145,4,0,98,9,67,63,1,97,93,83,96,88,0,137,4,19,1,7,22,27,25,18,2,65,1,2,147,1,5,24,0,0,141,5,3,143,0,31,96,4
MP,0,2,0,1,1,0,0,1,1,0,2,0,0,2,0,89,94,92,,92,0,2,1,14,6,4,13,28,32,23,0,0,1,0,0,3,,45,10,1,1,0,0,3,0,0,1,1
MS,0,95,0,7,89,0,2,91,1,0,73,9,39,42,1,98,95,92,70,92,8,76,8,16,1,9,23,28,23,17,0,60,3,0,92,5,1,27,0,0,77,16,0,82,12,2,73,5
MT,0,17,0,1,16,0,0,14,0,0,14,0,5,11,1,97,89,100,0,100,0,17,0,20,2,7,21,25,26,21,0,9,0,0,16,1,1,11,2,0,15,2,0,15,2,5,9,1
NC,3,237,2,5,238,3,3,237,1,0,167,10,102,130,4,98,94,99,87,100,15,222,3,16,1,8,21,26,26,19,3,143,0,7,238,2,3,21,0,1,223,14,2,231,3,26,198,5
ND,0,14,0,0,13,1,0,14,0,0,13,0,3,8,2,95,88,86,88,100,1,12,1,20,2,9,25,27,26,14,1,6,0,0,14,0,4,35,1,0,12,2,0,14,0,1,12,1
NE,1,33,1,0,33,1,0,30,0,0,25,1,8,21,1,97,95,92,93,100,0,34,0,19,1,7,24,29,24,16,1,17,0,0,30,4,6,18,1,0,32,1,0,33,1,6,22,0
NH,0,18,0,0,18,0,0,18,0,0,13,1,6,11,0,98,93,100,,100,0,18,0,23,1,6,22,28,25,18,1,7,0,5,13,0,3,21,0,0,18,0,0,18,0,3,14,1
NJ,6,177,2,1,173,11,3,177,5,0,150,8,94,83,0,98,95,96,89,94,19,157,7,14,2,8,25,31,23,13,19,83,1,20,164,0,2,16,1,4,174,5,6,172,1,9,146,23
NM,2,50,4,0,61,0,3,52,1,0,38,2,21,33,0,98,91,77,97,85,2,54,1,21,1,8,23,27,25,17,0,30,4,1,57,3,2,18,1,1,51,7,0,53,3,3,46,1
NV,0,52,0,0,47,5,0,48,3,0,48,0,39,8,0,98,92,96,63,97,0,50,2,19,2,7,22,28,25,18,1,35,9,1,46,5,2,19,1,0,48,4,5,46,1,7,37,6
NY,23,286,6,1,303,16,6,297,18,0,232,7,157,109,4,95,87,83,86,79,47,269,8,18,3,9,24,28,24,14,28,160,1,35,280,3,9,23,1,10,291,5,14,288,3,11,210,78
OH,9,291,4,1,282,20,4,292,3,0,90,6,99,170,1,97,93,93,81,97,2,281,10,22,2,7,23,28,25,17,10,103,2,1,293,12,1,21,1,0,258,12,3,262,12,41,225,5
OK,0,79,2,0,74,9,0,80,3,0,68,4,40,32,0,97,92,95,84,83,5,74,1,20,1,7,20,26,26,21,1,55,2,0,77,7,1,22,0,0,66,15,1,71,10,18,59,0
OR,0,65,1,0,66,0,2,62,1,0,48,2,34,27,0,98,91,100,79,88,2,61,0,17,1,6,21,28,26,18,0,42,0,0,62,5,2,15,1,0,55,8,0,56,5,7,50,0
PA,17,275,4,2,276,16,6,275,12,0,162,11,128,141,3,97,92,68,67,70,5,275,4,19,2,8,24,29,24,15,15,84,1,34,259,1,2,20,0,0,277,1,8,275,1,25,239,9
PR,0,35,11,2,44,2,1,33,13,0,4,2,39,7,0,99,97,100,82,100,0,27,21,33,1,9,26,32,23,9,0,34,6,0,47,2,8,12,1,0,33,0,1,38,0,1,27,18
RI,0,16,0,0,15,1,0,16,0,0,11,0,2,13,1,98,88,86,50,100,1,15,0,16,1,7,21,29,25,19,2,7,0,5,11,0,10,29,0,0,16,0,1,14,0,0,16,0
SC,0,142,7,4,139,6,2,138,6,0,97,10,63,73,1,97,94,96,85,100,1,124,18,12,1,8,22,26,26,18,6,75,0,7,142,2,1,25,0,0,130,15,0,139,5,12,118,4
SD,2,23,0,0,25,0,0,18,0,0,16,0,0,18,3,96,93,100,86,100,1,23,0,18,1,8,26,29,23,14,4,2,0,3,20,0,6,21,0,2,18,2,1,21,1,1,16,2
TN,0,183,5,0,183,7,2,173,9,0,109,10,77,90,0,97,94,22,63,5,1,182,2,20,1,7,21,26,26,20,11,88,2,7,180,3,1,21,0,0,174,8,2,177,1,17,143,7
TX,6,679,23,4,670,47,15,668,27,0,461,40,380,265,1,97,92,94,83,94,30,656,13,16,2,7,22,28,25,18,28,441,43,15,703,12,3,19,0,0,648,37,6,662,14,40,562,60
UT,0,48,1,1,49,0,3,40,0,0,30,1,17,21,3,97,91,100,89,99,4,44,1,16,1,7,22,25,26,19,1,19,1,0,51,0,2,22,2,0,42,4,0,44,0,3,38,1
VA,1,191,10,6,196,1,6,188,1,0,132,12,101,79,0,97,92,99,49,95,9,179,10,20,2,7,23,28,25,18,9,106,1,10,191,1,2,21,0,0,173,23,1,184,10,17,166,2
VI,0,4,0,1,3,0,0,3,0,0,4,0,0,0,0,95,,,,,0,3,1,21,27,12,26,27,25,11,0,1,0,0,4,0,6,40,0,0,4,0,0,4,0,0,3,1
VT,0,8,0,1,6,0,0,7,0,0,5,1,1,6,0,98,74,,,,0,7,0,25,3,5,20,27,30,18,0,1,0,0,8,0,29,21,1,0,4,3,0,5,3,1,6,0
WA,0,98,2,2,101,1,1,99,1,0,78,3,43,56,0,98,95,76,86,89,12,91,0,17,1,6,20,26,27,21,1,61,2,2,103,1,3,16,1,0,94,5,0,94,4,7,85,2
WI,2,117,1,1,118,2,3,110,2,0,77,4,45,66,2,98,91,97,81,100,2,114,1,22,1,7,23,29,24,16,2,50,2,2,118,1,5,19,1,0,98,19,0,102,14,12,99,3
WV,0,39,0,2,33,4,0,39,0,1,15,6,17,21,0,98,96,,100,100,0,38,1,28,1,7,23,27,25,18,2,15,0,0,36,3,3,26,0,0,36,3,0,37,2,10,27,1
WY,0,11,0,0,11,0,0,11,0,0,6,1,1,10,0,95,91,100,,100,2,9,0,19,1,8,22,25,24,20,0,3,0,0,11,0,1,14,1,0,8,2,0,11,0,1,8,1
