"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","Survey response rate"
LA,18,12,70,82,18,17,65,80,21,79,79,13,24,63,85,12,25,63,86,12,20,68,87,3505,24
MA,17,15,68,82,16,18,66,82,22,78,78,12,27,61,85,9,23,68,88,9,19,72,89,2435,26
MD,19,15,66,80,20,20,60,78,24,76,76,15,28,57,83,14,29,57,84,15,24,61,84,3609,24
ME,14,16,70,84,13,18,69,84,16,84,84,10,28,62,86,5,19,76,91,5,16,79,91,521,32
MI,18,16,66,81,16,20,64,81,21,79,79,15,26,59,84,11,24,65,87,11,19,70,88,5611,27
MN,14,17,69,83,15,20,65,82,19,81,81,12,28,60,85,10,24,66,87,10,19,71,88,1783,25
MO,17,14,69,82,16,18,66,82,19,81,81,13,26,61,85,9,26,65,88,9,21,70,89,2939,26
MP,29,14,57,74,22,17,61,78,24,76,76,26,27,47,77,14,30,56,83,11,20,69,88,114,33
MS,21,13,66,79,21,16,63,79,23,77,77,15,29,56,83,14,27,59,84,14,21,65,86,2773,26
MT,14,11,75,86,12,19,69,85,16,84,84,7,21,72,90,5,21,74,91,6,19,75,91,284,24
NC,20,15,65,79,21,19,60,78,21,79,79,15,28,57,83,14,26,60,84,13,22,65,86,6860,25
ND,19,17,64,80,12,18,70,85,19,81,81,16,23,61,82,6,19,75,91,7,12,81,92,275,24
NE,17,16,67,81,15,21,64,82,18,82,82,15,25,60,84,10,23,67,87,10,16,74,89,615,25
NH,19,17,64,80,14,19,67,83,17,83,83,14,30,56,84,7,22,71,89,8,18,74,89,457,30
NJ,17,14,69,82,15,18,67,83,20,80,80,12,25,63,86,8,22,70,89,8,17,75,90,4922,24
NM,23,14,63,77,21,19,60,77,23,77,77,18,28,54,81,15,23,62,85,13,19,68,87,1052,21
NV,23,15,62,77,17,18,65,81,21,79,79,19,29,52,81,10,25,65,87,10,22,68,88,1567,22
NY,19,14,67,80,18,18,64,80,24,76,76,14,29,57,83,11,25,64,86,11,22,67,87,9953,25
OH,18,15,67,81,16,18,66,82,18,82,82,14,26,60,84,10,22,68,88,10,19,71,88,5615,25
OK,15,14,71,84,16,19,65,82,20,80,80,11,24,65,87,10,23,67,88,10,18,72,89,1738,22
OR,16,16,68,82,16,21,63,81,20,80,80,12,26,62,86,11,24,65,86,11,21,68,87,1567,27
PA,17,16,67,81,16,19,65,82,20,80,80,14,27,59,84,10,23,67,87,11,19,70,88,6688,27
PR,15,16,69,83,15,20,65,82,14,86,86,14,20,66,86,9,19,72,89,11,15,74,89,3059,31
RI,14,15,71,84,12,17,71,86,17,83,83,12,24,64,86,6,21,73,89,7,16,77,91,428,26
SC,20,14,66,80,18,19,63,80,21,79,79,15,27,58,84,12,28,60,85,12,23,65,87,3650,25
SD,16,15,69,82,13,19,68,84,20,80,80,13,24,63,85,7,22,71,89,7,16,77,91,288,20
TN,21,15,64,78,17,18,65,81,18,82,82,17,26,57,82,11,23,66,87,11,20,69,88,3656,24
TX,18,14,68,81,18,18,64,80,21,79,79,14,25,61,85,11,23,66,86,11,19,70,88,17922,23
UT,20,16,64,79,15,17,68,83,18,82,82,16,27,57,82,8,19,73,89,8,15,77,90,771,26
VA,20,17,63,79,19,19,62,79,21,79,79,16,29,55,82,13,27,60,85,13,22,65,86,4782,27
VI,,,,,,,,,,,,,,,,,,,,,,,,,
VT,20,14,66,79,9,16,75,88,17,83,83,15,30,55,82,4,19,77,92,6,12,82,92,134,27
WA,14,14,72,84,15,19,66,82,18,82,82,12,23,65,87,9,23,68,88,9,19,72,89,2479,23
WI,18,16,66,81,15,20,65,82,18,82,82,14,28,58,84,10,24,66,87,11,18,71,88,2741,28
WV,19,15,66,80,15,18,67,83,19,81,81,14,27,59,84,10,18,72,88,9,16,75,90,792,28
WY,15,15,70,83,10,15,75,87,22,78,78,9,29,62,86,4,18,78,92,4,12,84,93,131,28
