Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,ICH-CAHPS date,ICH-CAHPS data availability code,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Star rating of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Star rating of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients ,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Star rating of providing information to patients,Lower box percent of patients-rating of the nephrologist ,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Star rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff ,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff ,Linearized score of rating of the dialysis center staff,Star rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility ,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Star rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH CAHPS Survey of patients' experiences star rating ,ICH-CAHPS survey response rate
012513,08,FMC LANGDALE,8 MEDICAL PARK,,VALLEY,AL,36854,Chambers,(334) 756-4192,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,13,18,69,84,4,27,31,42,69,1,27,73,73,2,12,33,55,84,3,16,46,38,79,2,20,38,42,79,2,43,2,41
012515,08,FMC OPELIKA,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,Lee,(334) 749-5085,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,11,19,70,86,4,24,29,47,73,2,19,81,81,4,12,38,50,84,3,16,37,47,82,2,14,28,58,85,3,30,3,22
012516,08,DSI SOUTH DIALYSIS,3201 3rd AVE SOUTH,,BIRMINGHAM,AL,35222,Jefferson,(205) 502-5300,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012517,08,DAVITA ATHENS DIALYSIS,15953 Athens Limestone Drive,,ATHENS,AL,35613,Limestone,(256) 233-4730,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012519,08,FMC SCOTTSBORO,20998 JOHN T. REID HWY,,SCOTTSBORO,AL,35768,Jackson,(256) 259-4777,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012520,08,FRESENIUS KIDNEY CARE TROY,606 BOTTS AVE,,TROY,AL,36081,Pike,(334) 434-5193,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012521,08,DCI DOTHAN,1630 COLUMBIA HWY,,Dothan,AL,36303,Houston,(334) 793-3519,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,001,8,10,82,91,5,6,15,79,91,5,17,83,83,4,5,10,85,95,5,2,14,84,95,5,3,10,87,96,5,35,5,23
012522,08,FMC HUNTSVILLE,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,Madison,(256) 536-1897,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012523,08,DAVITA PHENIX CITY DIALYSIS CENTER,4391 RIVERCHASE DRIVE,,PHENIX CITY,AL,36867,Russell,(334) 298-0294,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012524,08,FMC EAST MOBILE,1217 GOVERNMENT ST,,MOBILE,AL,36604,Mobile,(251) 438-6917,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012525,08,FMC WEST MOBILE,6601 WALL STREET,SUITE A,MOBILE,AL,36695,Mobile,(251) 633-2681,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012526,08,RCG PRINCETON,708 COTTON AVE SW,,BIRMINGHAM,AL,35211,Jefferson,(205) 785-3500,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012527,08,DCI ENTERPRISE,3861 SALEM ROAD,,ENTERPRISE,AL,36330,Coffee,(334) 347-8233,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012528,08,FMC CAHABA VALLEY,120 CAHABA VALLEY PARKWAY,Suite 150,PELHAM,AL,35124,Shelby,(205) 988-0469,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012529,08,DAVITA FLORENCE DIALYSIS,422 EAST DR. HICKS BLVD,STE B,FLORENCE,AL,35630,Lauderdale,(256) 764-5050,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012530,08,RAI EAST 11TH ST ANNISTON,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,Calhoun,(256) 237-7566,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012531,08,FMC JACKSON (TOMBIGBEE),215 WALKER SPRINGS RD,,JACKSON,AL,36545,Clarke,(251) 246-6667,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012532,08,DCI EUFAULA,123 A EAST BARBOUR STREET,,EUFAULA,AL,36027,Barbour,(334) 687-7071,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012533,08,DAVITA WALKER COUNTY DIALYSIS,260 6th Avenue Northwest,,JASPER,AL,35504,Walker,(205) 384-6919,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012534,08,BESSEMER KIDNEY CENTER,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,Jefferson,(205) 424-3757,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012535,08,DAVITA PDI-PRATTVILLE,600 Mcqueen Smith Road South,,PRATTVILLE,AL,36066,Autauga,(334) 358-1576,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012536,08,FMC MONTCLAIR,7780 Ludington Lane,,BIRMINGHAM,AL,35210,Jefferson,(205) 957-1010,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012537,08,FMC PRICHARD,4016 St Stevens Road,,WHISTLER,AL,36612,Mobile,(251) 330-1623,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012538,08,RCG ANDALUSIA,1208 WEST BYPASS,,ANDALUSIA,AL,36420,Covington,(334) 427-0147,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012540,08,FMC MONROEVILLE (WHETSTONE),676 S ALABAMA AVE,,MONROEVILLE,AL,36460,Monroe,(251) 575-3452,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012541,08,FMC DADEVILLE,52 WATERWORKS RD,,DADEVILLE,AL,36853,Tallapoosa,(256) 825-2740,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012542,08,DAVITA RAINBOW CITY DIALYSIS,2800 RAINBOW DRIVE,,RAINBOW CITY,AL,35906,Etowah,(256) 413-3245,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012543,08,DAVITA DEMOPOLIS DIALYSIS,305 South Cedar Avenue,,Demopolis,AL,36732,Marengo,(334) 289-1394,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012544,08,DAVITA OZARK DIALYSIS,195 BUNTING DRIVE,,OZARK,AL,36360,Dale,(334) 774-1410,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012545,08,DAVITA TUSCALOOSA DIALYSIS,805 OLD MILL STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 752-6363,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012546,08,FMC TUSKEGEE,802 E. MARTIN LUTHER KING HWY,,TUSKEGEE,AL,36083,Macon,(334) 727-9447,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012547,08,FMC EASTERN SHORE,124 PROFESSIONAL PARK DR,,FAIRHOPE,AL,36532,Baldwin,(251) 928-7835,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012548,08,DAVITA FAYETTE DIALYSIS,2450 TEMPLE AVE N,,FAYETTE,AL,35555,Fayette,(205) 932-8500,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012550,08,DAVITA GREENE COUNTY DIALYSIS,544 HIGHWAY 43,,EUTAW,AL,35462,Greene,(205) 372-4000,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012551,08,DAVITA SHEFFIELD DIALYSIS,1120 S JACKSON HWY STE 107,,SHEFFIELD,AL,35660,Colbert,(256) 381-8004,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012552,08,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,65 NORTH CATHERINE STREET,,MOBILE,AL,36604,Mobile,(251) 441-0868,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012553,08,DAVITA PDI-ELMORE COUNTY,125 HOSPITAL DRIVE,,WETUMPKA,AL,36092,Elmore,(334) 514-2037,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012556,08,NNA OF ALABAMA INC,7067 VETERANS PKWY SUITE 120,,PELL CITY,AL,35125,Saint Clair,(205) 338-4515,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012558,08,DCI DECATUR,1601 6TH AVENUE SOUTH EAST,,DECATUR,AL,35601,Morgan,(256) 350-8882,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012559,08,FMC UNIVERSITY SOUTH ALABAMA,700 CLINIC DRIVE,,MOBILE,AL,36688,Mobile,(251) 460-6797,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012561,08,FKC ARAB,310 South Brindlee Mountain Parkway,,Arab,AL,35016,Marshall,(256) 640-8283,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012562,08,DCI PELL CITY,62 COGSWELL DRIVE,,PELL CITY,AL,35125,Saint Clair,(205) 884-4240,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012563,08,DCI CULLMAN,1734 EVA ROAD NE,,CULLMAN,AL,35055,Cullman,(256) 734-3055,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012565,08,DAVITA SOUTH BALDWIN DIALYSIS CENTER,150 W PEACHTREE AVE,,FOLEY,AL,36535,Baldwin,(251) 943-4155,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012566,08,FMC SYLACAUGA,314 WEST SPRING STREET,,SYLACAUGA,AL,35150,Talladega,(256) 249-9660,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012568,08,FMC PARKWAY,1311 N MEMORIAL PKWY STE 100,,HUNTSVILLE,AL,35801,Madison,(256) 536-5563,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012570,08,DAVITA NORTHORT DIALYSIS,2401 HOSPITAL DRIVE,,NORTHPORT,AL,35476,Tuscaloosa,(205) 339-8882,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012571,08,DCI GEORGIANA,715 MEETING ST,,GEORGIANA,AL,36033,Butler,(334) 376-0277,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012572,08,FMC CAMELLIA,350 PAUL STABLER DRIVE,,GREENVILLE,AL,36037,Butler,(334) 383-0006,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012573,08,DCI BIRMINGHAM,8713 PARKWAY EAST,,BIRMINGHAM,AL,35206,Jefferson,(205) 838-5400,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012574,08,FMC CHAMBERS,802 HOSPITAL STREET,,LAFAYETTE,AL,36862,Chambers,(334) 864-9914,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012575,08,RCG WALKER,3510 3RD STREET NE,,JASPER,AL,35504,Walker,(205) 221-8775,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012576,08,DCI MONTGOMERY,544 SOUTH MCDONOUGH STREET,,MONTGOMERY,AL,36104,Montgomery,(334) 265-9190,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012578,08,RCG SOUTHSIDE,2131 MAGNOLIA AVE SOUTH #100,,BIRMINGHAM,AL,35205,Jefferson,(205) 322-4382,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012579,08,FMC DAUPHIN ISLAND PKWY,2381 DAUPHIN ISLAND PARKWAY,,MOBILE,AL,36605,Mobile,(251) 471-2505,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012580,08,FMC THOMASVILLE,30230 HWY 43,,THOMASVILLE,AL,36784,Clarke,(334) 636-1411,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012582,08,FMC WILCOX,229 CAMDEN BYPASS,,CAMDEN,AL,36726,Wilcox,(334) 682-5030,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012583,08,DAVITA BESSEMER DIALYSIS,901 WESTLAKE MALL,STE 101,BESSEMER,AL,35020,Jefferson,(205) 424-1848,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012585,08,DAVITA ENSLEY DIALYSIS,2630 AVENUE E,,BIRMINGHAM,AL,35218,Jefferson,(205) 786-1371,Profit,Yes,DaVita,16APR2021-07JAN2022,001,34,10,56,71,2,21,15,64,80,3,30,70,70,1,35,28,37,71,1,7,42,51,86,3,14,22,64,86,3,33,2,23
012588,08,DAVITA SYLACAUGA DIALYSIS,331 JAMES PAYTON BLVD,,SYLACAUGA,AL,35150,Talladega,(256) 249-4994,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012589,08,DAVITA BIRMINGHAM NORTH DIALYSIS,1917 32ND AVENUE NORTH,,BIRMINGHAM,AL,35207,Jefferson,(205) 297-9052,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012590,08,DCI MOULTON,1962 MAIN STREET,,MOULTON,AL,35650,Lawrence,(256) 974-1400,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012591,08,NNA OF ALABAMA INC,1010 First Street North,Suite 100,Alabaster,AL,35007,Shelby,(205) 728-6286,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012592,08,DAVITA BIRMINGHAM CENTRAL DIALYSIS,728 RICHARD ARRINGTON JR BLVD S,,BIRMINGHAM,AL,35233,Jefferson,(205) 250-6760,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012593,08,FMC ODYSSEY DIALYSIS,40 HUGHES ROAD,,MADISON,AL,35758,Madison,(256) 772-4435,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012594,08,DAVITA BOAZ DIALYSIS,16 CENTRAL HENDERSON ROAD,,BOAZ,AL,35957,Marshall,(256) 840-5931,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012595,08,RCG FORT PAYNE,2202 JORDAN ROAD SW,SUITE 100,FORT PAYNE,AL,35968,DeKalb,(256) 845-9979,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012596,08,FKC MONTGOMERY,3625 McGehee Place Drive North,,Montgomery,AL,36111,Montgomery,(334) 286-3766,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,22,18,60,78,3,34,20,46,69,1,26,74,74,2,18,36,46,79,2,20,41,39,76,1,17,42,41,80,2,37,2,22
012597,08,FMC BAY MINETTE,2505 HAND AVENUE,,BAY MINETTE,AL,36507,Baldwin,(251) 580-4448,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012598,08,DCI PHENIX CITY,1611 21st COURT,,PHENIX CITY,AL,36867,Russell,(334) 448-4840,Profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012599,08,FMC PORT CITY,"201 ST. JOSEPH STREET, SUITE B",,MOBILE,AL,36602,Mobile,(251) 652-1025,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012600,08,DAVITA ATMORE DIALYSIS CENTER,807 EAST CRAIG STREET,,ATMORE,AL,36502,Escambia,(251) 368-5593,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012601,08,FMC WEST,633 LOMB AVENUE,,BIRMINGHAM,AL,35211,Jefferson,(205) 781-2366,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012602,08,DAVITA RUSSELLVILLE DIALYSIS,14897 HWY 43,,RUSSELLVILLE,AL,35653,Franklin,(256) 332-7044,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012603,08,FMC FAIRFIELD (STEEL CITY),6508 E. J. OLIVER BLVD,,FAIRFIELD,AL,35064,Jefferson,(205) 780-5122,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012604,08,RCG CLANTON,275 HEALTH CENTER DRIVE,,CLANTON,AL,35045,Chilton,(205) 280-4331,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012606,08,FMC CHASE,1849 KEATS DRIVE NORTHWEST,,HUNTSVILLE,AL,35810,Madison,(256) 852-8900,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012607,08,ROANOKE DIALYSIS CLINIC,4459 US HIGHWAY 431,,ROANOKE,AL,36274,Randolph,(334) 863-8365,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012608,08,RCG ONEONTA,"150 GILBREATH DRIVE, SUITE 1",,ONEONTA,AL,35121,Blount,(205) 625-6903,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012609,08,DAVITA EUFAULA DIALYSIS,220 SOUTH ORANGE AVE,,EUFAULA,AL,36027,Barbour,(334) 688-0806,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012610,08,FMC MAGNOLIA,7940 Moffett Road,,SEMMES,AL,36575,Mobile,(251) 649-6343,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012611,08,FMC DALLAS COUNTY,200 SOUTH PARK PL,,SELMA,AL,36701,Dallas,(334) 872-8460,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012612,08,FMC GARDENDALE,592 FIELDSTOWN ROAD,SUITE 102,GARDENDALE,AL,35071,Jefferson,(205) 608-3653,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012613,08,FMC DISCOVERY,"1131 EAGLETREE LN, STE100",,HUNTSVILLE,AL,35801,Madison,(256) 489-4160,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012614,08,FMC VALLEY CREEK,201 LINCOLN LANE,,SELMA,AL,36701,Dallas,(334) 875-5436,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
