Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
FMC LANGDALE,012513,-,8 MEDICAL PARK,-,VALLEY,AL,36854,8,10,3%,61,17,587,2%,11,605,Achievement,10,95%,58,579,611,92%,590,639,Achievement,10,6,7,97%,61,541,559,95%,565,595,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,3,6%,68,41,710,9%,62,699,Improvement,4,1.126,92,3,2.665,1.577,5,3.171,Achievement,10,9,10,2,1.17,65,16,13.66,1.37,14,10.22,Achievement,64,No Reduction,2/12/1981,FRESENIUS MEDICAL CARE,10/10/2009
FMC OPELIKA,012515,-,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,8,10,1%,88,5,899,0%,3,904,Achievement,10,90%,84,843,935,88%,829,940,Achievement,10,6,8,98%,88,861,880,97%,847,873,Achievement,10,96%,22,195,205,99%,207,210,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,125,13,1346,6%,76,1291,Achievement,8,0.273,112,1,3.667,1.353,6,4.433,Achievement,10,10,10,10,0.27,66,4,14.82,0.81,13,16.06,Achievement,91,No Reduction,9/7/1982,FRESENIUS MEDICAL CARE,5/23/2016
DSI SOUTH DIALYSIS,012516,-,3201 3RD AVE SOUTH,-,BIRMINGHAM,AL,35222,8,9,4%,38,14,377,1%,5,352,Achievement,0,45%,37,177,395,49%,181,372,Achievement,5,6,9,99%,39,371,373,100%,352,353,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,66,9,680,4%,25,658,Achievement,6,0.742,69,2,2.696,1.069,3,2.806,Achievement,No Score,9,9,7,0.84,65,13,15.51,0.93,14,15.07,Achievement,74,No Reduction,12/2/1982,DIVERSIFIED SPECIALTY INSTITUTES (DSI),7/19/2015
DVA HEALTHCARE RENAL CARE INC,012517,-,15953 ATHENS LIMESTONE DRIVE,-,ATHENS,AL,35613,8,8,5%,74,30,634,4%,26,652,Achievement,5,65%,69,444,686,69%,470,683,Achievement,7,6,3,93%,71,532,570,97%,565,584,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,6,2%,95,16,834,1%,10,778,Achievement,7,0.407,119,2,4.908,0,0,4.216,Achievement,10,8,10,0,1.27,95,29,22.8,1.1,24,21.9,Achievement,57,0.50%,1/21/1983,GAMBRO HEALTHCARE,3/6/2012
FMC SCOTTSBORO,012519,-,20998 JOHN T. REID HWY,-,SCOTTSBORO,AL,35768,8,7,7%,59,38,509,2%,12,501,Achievement,10,83%,57,463,556,92%,493,537,Achievement,8,6,5,95%,61,476,501,95%,470,496,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,4,3%,68,16,584,3%,20,611,Achievement,5,0.806,90,3,3.721,0.57,2,3.508,Achievement,10,8,10,9,0.68,57,10,14.63,0.68,10,14.81,Achievement,71,No Reduction,11/5/1984,FRESENIUS MEDICAL CARE,9/26/2013
FMC TROY,012520,-,606 BOTTS AVE,-,TROY,AL,36081,8,4,13%,53,61,483,9%,66,696,Achievement,0,41%,46,199,482,51%,367,719,Achievement,2,6,3,93%,54,438,472,96%,649,677,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,6,2%,77,13,693,2%,20,906,Achievement,7,0.579,93,3,5.182,0.598,4,6.692,Achievement,No Score,9,10,0,1.29,54,20,15.54,0.98,23,23.5,Achievement,49,1.00%,11/19/1984,FRESENIUS MEDICAL CARE,3/6/2012
DCI DOTHAN,012521,-,1630 COLUMBIA HWY,-,DOTHAN,AL,36303,8,10,3%,92,27,889,6%,54,875,Achievement,5,65%,86,607,932,61%,565,927,Achievement,8,6,8,98%,95,861,879,97%,838,863,Achievement,7,88%,21,157,182,76%,137,180,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,0,5%,141,70,1365,5%,60,1289,Achievement,2,1.517,132,8,5.274,1.189,7,5.889,Achievement,10,10,10,5,0.95,112,27,28.39,1.07,37,34.55,Achievement,62,No Reduction,3/11/1985,"DIALYSIS CLINIC, INC.",3/6/2012
FMC HUNTSVILLE,012522,-,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,8,6,9%,81,58,681,11%,85,752,Achievement,6,68%,73,488,722,70%,594,854,Achievement,6,6,8,97%,100,630,647,86%,643,747,Improvement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,110,10,862,4%,37,1051,Achievement,5,0.889,162,5,5.623,0.409,3,7.327,Achievement,10,10,9,2,1.17,83,26,22.21,0.9,27,30.14,Achievement,66,No Reduction,8/20/1985,FRESENIUS MEDICAL CARE,9/14/2015
PHENIX CITY DIALYSIS,012523,-,4391 RIVERCHASE DRIVE,-,PHENIX CITY,AL,36867,8,8,5%,60,28,588,2%,12,619,Achievement,7,72%,60,461,637,65%,415,637,Achievement,8,6,8,98%,70,577,589,99%,621,625,Achievement,10,99%,17,132,133,99%,171,173,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,87,6,848,0%,3,942,Achievement,1,1.614,139,5,3.098,0.277,1,3.612,Achievement,10,10,10,5,0.93,80,20,21.61,0.65,16,24.5,Achievement,69,No Reduction,9/23/1985,DAVITA,5/2/2014
FMC EAST MOBILE,012524,-,1217 GOVERNMENT ST,-,MOBILE,AL,36604,8,10,3%,78,22,684,6%,48,740,Achievement,4,62%,72,453,725,62%,508,814,Achievement,7,6,4,93%,97,616,664,88%,642,729,Improvement,9,93%,51,334,358,89%,441,497,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,179,1,1622,1%,17,1808,Achievement,8,0.295,160,2,6.787,0.503,4,7.958,Achievement,10,4,10,2,1.14,172,47,41.08,1.24,66,53.29,Achievement,68,No Reduction,12/1/1985,FRESENIUS MEDICAL CARE,5/3/2016
FMC WEST MOBILE,012525,-,6601 WALL STREET,SUITE A,MOBILE,AL,36695,8,7,8%,69,53,625,4%,28,642,Achievement,2,57%,65,375,658,61%,423,689,Achievement,5,6,7,97%,76,600,619,98%,628,644,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,96,4,841,1%,11,840,Achievement,1,1.664,126,9,5.409,1.367,6,4.389,Achievement,10,9,10,5,0.97,102,24,24.87,1.18,28,23.66,Achievement,64,No Reduction,12/2/1985,FRESENIUS MEDICAL CARE,3/6/2012
RCG PRINCETON,012526,-,708 COTTON AVE SW,-,BIRMINGHAM,AL,35211,8,10,2%,84,18,828,4%,39,944,Achievement,0,51%,78,426,836,53%,523,992,Achievement,5,6,7,97%,85,782,803,96%,891,928,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,137,16,1375,4%,63,1429,Achievement,6,0.662,186,6,9.061,0.391,3,7.676,Achievement,10,10,10,3,1.08,116,30,27.69,1.24,46,37.06,Achievement,67,No Reduction,9/18/1985,RENAL CARE GROUP INC.,3/6/2012
DCI ENTERPRISE,012527,-,3861 SALEM ROAD,-,ENTERPRISE,AL,36330,8,10,3%,68,17,588,4%,26,724,Achievement,9,77%,58,483,626,74%,565,763,Achievement,10,6,9,99%,70,588,593,99%,685,691,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,2,4%,78,30,729,5%,47,863,Achievement,4,1.165,94,4,3.435,0.834,3,3.598,Achievement,10,10,10,9,0.69,59,10,14.55,0.86,15,17.52,Achievement,79,No Reduction,7/4/1986,"DIALYSIS CLINIC, INC.",4/2/2009
FMC CAHABA VALLEY,012528,-,120 CAHABA VALLEY PARKWAY,SUITE 150,PELHAM,AL,35124,8,2,16%,47,61,390,10%,39,399,Achievement,1,54%,44,228,422,51%,221,430,Achievement,2,6,6,96%,54,370,387,97%,387,398,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,4,3%,68,18,558,5%,28,536,Achievement,6,0.663,112,3,4.524,0.569,2,3.515,Achievement,No Score,9,10,3,1.12,72,20,17.82,0.89,17,19.04,Achievement,55,0.50%,9/17/1986,RENAL CARE GROUP INC.,9/17/2004
FLORENCE DIALYSIS,012529,-,422 EAST DR. HICKS BLVD,-,FLORENCE,AL,35630,8,10,3%,84,21,769,4%,31,733,Achievement,6,69%,79,565,816,57%,446,787,Achievement,8,6,5,95%,92,710,750,97%,685,707,Achievement,7,89%,45,346,387,89%,413,463,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,6,2%,147,25,1306,1%,17,1402,Achievement,7,0.425,124,2,4.702,0.445,2,4.493,Achievement,10,6,9,3,1.06,163,42,39.67,0.83,28,33.91,Achievement,66,No Reduction,9/16/1986,GAMBRO HEALTHCARE,3/6/2012
RAI EAST 11TH ST ANNISTON,012530,-,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,8,10,2%,72,13,600,4%,25,688,Achievement,1,55%,68,353,646,56%,399,717,Achievement,6,6,7,97%,79,582,599,94%,633,674,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,91,6,769,2%,15,801,Achievement,5,0.982,119,4,4.072,1.453,7,4.818,Achievement,10,10,10,4,1.02,92,27,26.34,0.69,15,21.71,Achievement,69,No Reduction,1/7/1987,NOT A CHAIN,3/6/2012
FMC JACKSON (TOMBIGBEE),012531,-,215 WALKER SPRINGS RD,-,JACKSON,AL,36545,8,10,3%,66,19,568,6%,33,558,Achievement,5,65%,63,399,617,64%,372,582,Achievement,8,6,8,98%,65,555,564,93%,516,552,Achievement,10,97%,11,67,69,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,81,2,716,2%,12,707,Achievement,7,0.601,109,2,3.326,0.519,2,3.85,Achievement,No Score,10,10,10,0.59,50,6,10.24,0.94,16,17.07,Achievement,89,No Reduction,1/29/1987,FRESENIUS MEDICAL CARE,3/6/2012
DCI EUFAULA,012532,-,123 A EAST BARBOUR STREET,-,EUFAULA,AL,36027,8,8,5%,42,22,404,1%,4,352,Achievement,3,60%,38,255,424,64%,241,379,Achievement,6,6,9,99%,41,399,403,99%,353,358,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,2,4%,55,19,537,5%,22,448,Achievement,2,1.564,61,5,3.197,1.776,4,2.252,Achievement,No Score,10,10,10,0.59,36,5,8.51,0.63,8,12.76,Achievement,71,No Reduction,11/25/1987,"DIALYSIS CLINIC, INC.",3/28/2014
WALKER COUNTY DIALYSIS,012533,-,260 6TH AVENUE NORTH,-,JASPER,AL,35504,8,7,8%,31,22,283,5%,17,336,Achievement,1,54%,28,157,292,59%,208,355,Achievement,4,6,9,99%,33,262,265,99%,325,328,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,2,4%,45,18,447,2%,8,432,Achievement,3,1.321,47,3,2.271,0.409,1,2.444,Achievement,No Score,10,10,4,0.99,40,10,9.95,1.1,16,14.56,Achievement,59,0.50%,12/29/1987,NATIONAL RENAL INSTITUTES,5/15/2012
BESSEMER KIDNEY CENTER,012534,-,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,8,7,8%,43,29,372,17%,69,405,Achievement,0,39%,33,144,369,44%,192,440,Achievement,4,6,8,98%,44,354,362,91%,344,380,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,4,4%,88,28,717,7%,56,826,Improvement,10,0,110,0,4.267,0.281,2,7.11,Achievement,No Score,10,10,7,0.84,70,14,16.69,1.2,24,19.99,Achievement,76,No Reduction,3/22/1988,RENAL CARE GROUP INC.,10/29/2008
PCD PRATTVILLE,012535,-,1815 GLYNWOOD DRIVE,-,PRATTVILLE,AL,36066,8,2,16%,44,53,338,10%,46,456,Achievement,0,46%,37,169,368,50%,239,478,Achievement,1,6,6,96%,43,326,339,95%,396,416,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,67,7,612,1%,6,698,Achievement,6,0.7,109,3,4.288,0.862,4,4.641,Achievement,10,10,10,6,0.89,76,16,18.01,0.47,10,21.4,Achievement,64,No Reduction,1/26/1990,DAVITA,3/6/2012
FMC MONTCLAIR,012536,-,3918 MONTCLAIR RD,SUITE 110,BIRMINGHAM,AL,35213,8,10,1%,48,4,465,7%,36,495,Achievement,4,62%,46,301,487,52%,288,554,Achievement,7,6,9,99%,49,458,464,98%,466,476,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,5,4%,81,30,707,8%,57,741,Improvement,7,0.596,92,2,3.354,0.223,1,4.487,Achievement,10,10,10,3,1.06,59,13,12.25,0.96,15,15.58,Achievement,72,No Reduction,9/12/1990,RENAL CARE GROUP INC.,9/17/2004
FMC PRICHARD,012537,-,4016 HWY 45,-,WHISTLER,AL,36613,8,7,7%,64,39,571,4%,20,551,Achievement,4,64%,62,391,614,67%,391,587,Achievement,6,6,7,97%,65,525,542,95%,527,554,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,109,11,1019,1%,9,1010,Achievement,4,1.167,144,6,5.141,0.816,4,4.899,Achievement,10,9,10,5,0.97,116,30,31,0.78,18,22.97,Achievement,68,No Reduction,4/23/1990,FRESENIUS MEDICAL CARE,3/6/2012
RCG ANDALUSIA,012538,-,1208 WEST BYPASS,-,ANDALUSIA,AL,36420,8,10,2%,48,7,445,4%,18,441,Achievement,7,70%,46,333,476,72%,337,469,Achievement,9,6,3,93%,47,415,444,95%,416,436,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,10,0%,57,0,532,2%,8,498,Achievement,8,0.389,65,1,2.568,1.224,3,2.451,Achievement,10,10,10,6,0.87,54,12,13.71,1.03,16,15.56,Achievement,77,No Reduction,6/26/1991,RENAL CARE GROUP INC.,1/9/2014
